DIRECT SWEEP 12x12, N=800, sundman HS  (anchor at sD=0.000 sA=0.075)
reference-guided: attempting only the 132 cells the reference run proved green
wave 0 restricted to 8 known cold-opener cells
WAVE 0: cold chord seed, full budget 1500, sublattice stride 2 (36 points)
DIRECT SWEEP 12x12, N=800, sundman HS  (anchor at sD=0.000 sA=0.075)
reference-guided: attempting only the 132 cells the reference run proved green
wave 0 restricted to 8 known cold-opener cells
WAVE 0: cold chord seed, full budget 1500, sublattice stride 2 (36 points)
  [w1] ( 7, 5) tf=4.51832 dV=0.8469 peris=   500 vArr=0.207 glob=168.78km fail (22s)
  [w1] ( 6, 6) tf=4.65102 dV=0.8730 peris=   857 vArr=0.744 glob=116.46km fail (110s)
  [w1] ( 6, 4) tf=17.45585 dV=-2.1778 peris= -1737 vArr=0.368 glob=Infkm fail (214s)
  [w1] ( 6, 4) tf=4.72189 dV=0.8870 peris=  4086 vArr=0.368 glob=59.00km PASS (75s)
  [w1] ( 4, 4) tf=4.70120 dV=0.8829 peris=   500 vArr=0.368 glob=20.66km PASS (100s)
  [w1] ( 5, 3) tf=17.64969 dV=3.9021 peris=   501 vArr=0.429 glob=Infkm fail (212s)
  [w1] ( 7, 9) tf=11.73734 dV=1.6567 peris= -1731 vArr=0.287 glob=Infkm fail (368s)
  [w1] ( 6,10) tf=11.86883 dV=1.3003 peris= -1737 vArr=0.283 glob=Infkm fail (133s)
  [w1] ( 6, 8) tf=32.88016 dV=7.6726 peris= -1737 vArr=0.603 glob=Infkm fail (317s)
  [w1] ( 6,10) tf=19.63618 dV=3.0524 peris= -1737 vArr=0.283 glob=Infkm fail (303s)
  [w1] ( 4,10) tf=4.50659 dV=0.8446 peris=  6028 vArr=0.283 glob=9.27km PASS (20s)
  [w1] ( 7,11) tf=4.39134 dV=0.8220 peris=  7620 vArr=0.503 glob=12.80km PASS (23s)
  [w1] ( 6,12) tf=4.35355 dV=0.8145 peris=  5574 vArr=0.143 glob=1.86km PASS (23s)
  [w1] ( 6,10) tf=4.05831 dV=0.7569 peris=  6816 vArr=0.283 glob=3.67km PASS (46s)
  [w1] ( 3,11) tf=4.44723 dV=0.8329 peris=  5679 vArr=0.503 glob=25.92km PASS (10s)
  [w1] ( 4,12) tf=4.37856 dV=0.8194 peris=  5471 vArr=0.143 glob=2.68km PASS (12s)
  [w1] (11, 7) tf=5.38366 dV=1.0188 peris=  2573 vArr=0.156 glob=6.90km PASS (76s)
  [w1] (10, 8) tf=45.76804 dV=9.5869 peris= -1737 vArr=0.603 glob=Infkm fail (228s)
  [w1] (10, 6) tf=4.64118 dV=0.8711 peris=   500 vArr=0.744 glob=11.06km PASS (169s)
  [w1] ( 4, 3) tf=4.32228 dV=0.8084 peris=  8057 vArr=0.429 glob=21.16km PASS (170s)
  [w1] ( 3, 4) tf=4.30725 dV=0.8055 peris=  9393 vArr=0.368 glob=3.27km PASS (28s)
  [w1] ( 3, 2) tf=4.63665 dV=0.8702 peris=  3574 vArr=0.201 glob=9.75km PASS (33s)
  [w1] ( 2, 5) tf=13.95053 dV=2.7969 peris= -1737 vArr=0.207 glob=Infkm fail (211s)
  [w1] (10, 3) tf=4.02325 dV=0.7500 peris=  7225 vArr=0.429 glob=15.70km PASS (12s)
  [w1] (11, 4) tf=5.73235 dV=1.0890 peris=  6050 vArr=0.368 glob=78.89km PASS (114s)
  [w1] (11, 2) tf=15.04591 dV=3.0611 peris= -1737 vArr=0.201 glob=Infkm fail (211s)
  [w1] (12, 5) tf=44.54216 dV=0.8090 peris= -1727 vArr=0.207 glob=Infkm fail (216s)
  [w1] (11, 2) tf=5.71893 dV=1.0863 peris= 10608 vArr=0.201 glob=6.48km PASS (14s)
  [w1] ( 2, 5) tf=3.65660 dV=0.6790 peris=  6469 vArr=0.207 glob=0.89km PASS (7s)
  [w1] (12, 5) tf=3.69699 dV=0.6868 peris=  6472 vArr=0.207 glob=0.88km PASS (7s)
