THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.15639 (0.693 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 1, 1) T= 12.0  tf=0.17675 (0.783 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.19512 (0.865 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.23610 (1.047 d)  fly=1.51km  acc=NaN  fail (2s)
  ( 1, 1) T=  5.0  tf=0.28175 (1.249 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  rejected pre-flight (minAlt 62407 km, tf 3.7896) -- ladder stops
  ( 2, 1) T= 15.0  tf=0.15548 (0.689 d)  fly=0.00km  acc=0.0e+00  OK (69s)
  ( 2, 1) T= 12.0  tf=0.17564 (0.779 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.19380 (0.859 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.23428 (1.038 d)  fly=2.14km  acc=NaN  fail (2s)
  ( 2, 1) T=  5.0  tf=0.27931 (1.238 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  3.0  tf=0.36274 (1.608 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  2.0  tf=0.44432 (1.970 d)  fly=0.00km  acc=0.0e+00  OK (1s)
THRUST LADDER: 34 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (2 cells resumed/skipped)
  ( 3, 1) T= 15.0  tf=0.15362 (0.681 d)  fly=0.00km  acc=0.0e+00  OK (73s)
  ( 3, 1) T= 12.0  tf=0.17351 (0.769 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T= 10.0  tf=0.19144 (0.849 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  7.0  tf=0.23146 (1.026 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  5.0  tf=0.27605 (1.224 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.35904 (1.592 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.44092 (1.954 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  1.5  tf=0.50962 (2.259 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.62560 (2.773 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 15.0  tf=0.15315 (0.679 d)  fly=1.63km  acc=NaN  fail (9s)
  ( 4, 1) T= 12.0  tf=0.17313 (0.767 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T= 10.0  tf=0.19118 (0.847 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  7.0  tf=0.23157 (1.026 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  5.0  tf=0.27678 (1.227 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  3.0  tf=0.36150 (1.602 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  2.0  tf=0.44572 (1.976 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  1.5  tf=0.51676 (2.291 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.0  tf=0.63685 (2.823 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T= 15.0  tf=0.15527 (0.688 d)  fly=0.00km  acc=0.0e+00  OK (8s)
  ( 5, 1) T= 12.0  tf=0.17563 (0.779 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T= 10.0  tf=0.19405 (0.860 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  7.0  tf=0.23528 (1.043 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  5.0  tf=0.28145 (1.248 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  3.0  tf=0.36781 (1.630 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  2.0  tf=0.45321 (2.009 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.5  tf=0.52453 (2.325 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  1.0  tf=0.64284 (2.849 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T= 15.0  tf=0.15663 (0.694 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 6, 1) T= 12.0  tf=0.17713 (0.785 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T= 10.0  tf=0.19563 (0.867 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  7.0  tf=0.23700 (1.051 d)  fly=2.56km  acc=NaN  fail (2s)
  ( 6, 1) T=  5.0  tf=0.28318 (1.255 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  3.0  tf=0.36915 (1.636 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  2.0  tf=0.45353 (2.010 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.5  tf=0.52348 (2.320 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.0  tf=0.63833 (2.829 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T= 15.0  tf=0.15481 (0.686 d)  fly=0.00km  acc=0.0e+00  OK (15s)
  ( 1, 2) T= 12.0  tf=0.17529 (0.777 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T= 10.0  tf=0.19383 (0.859 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  7.0  tf=0.23547 (1.044 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  5.0  tf=0.28225 (1.251 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  3.0  tf=0.37012 (1.641 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  2.0  tf=0.45733 (2.027 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  1.5  tf=0.53029 (2.351 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  1.0  tf=0.65125 (2.887 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T= 15.0  tf=0.15536 (0.689 d)  fly=0.00km  acc=0.0e+00  OK (22s)
  ( 2, 2) T= 12.0  tf=0.17581 (0.779 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T= 10.0  tf=0.19430 (0.861 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  7.0  tf=0.23574 (1.045 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  5.0  tf=0.28219 (1.251 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  3.0  tf=0.36916 (1.636 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  2.0  tf=0.45524 (2.018 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  1.5  tf=0.52722 (2.337 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  1.0  tf=0.64693 (2.868 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T= 15.0  tf=0.15311 (0.679 d)  fly=0.00km  acc=0.0e+00  OK (71s)
  ( 3, 2) T= 12.0  tf=0.17320 (0.768 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T= 10.0  tf=0.19136 (0.848 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T=  7.0  tf=0.23206 (1.029 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T=  5.0  tf=0.27771 (1.231 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T=  3.0  tf=0.36339 (1.611 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  2.0  tf=0.44868 (1.989 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  1.5  tf=0.52062 (2.308 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  1.0  tf=0.64232 (2.847 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 7 cells]
THRUST LADDER DONE: 71 verified entries over 34 cells, 5.0 min
THRUST LADDER: 27 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (9 cells resumed/skipped)
  ( 4, 2) T= 15.0  tf=0.15052 (0.667 d)  fly=0.00km  acc=0.0e+00  OK (50s)
  ( 4, 2) T= 12.0  tf=0.17037 (0.755 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T= 10.0  tf=0.18836 (0.835 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T=  7.0  tf=0.22880 (1.014 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  5.0  tf=0.27436 (1.216 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T=  3.0  tf=0.36046 (1.598 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T=  2.0  tf=0.44686 (1.981 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  1.5  tf=0.52017 (2.306 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  1.0  tf=0.64451 (2.857 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T= 15.0  tf=0.15118 (0.670 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 5, 2) T= 12.0  tf=0.17126 (0.759 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T= 10.0  tf=0.18947 (0.840 d)  fly=0.00km  acc=0.0e+00  OK (2s)
