THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.17240 (0.764 d)  fly=0.00km  acc=0.0e+00  OK (24s)
  ( 1, 1) T= 12.0  tf=0.19504 (0.865 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.21544 (0.955 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.26088 (1.156 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.31141 (1.380 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.40509 (1.796 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.49697 (2.203 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.57348 (2.542 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.70070 (3.106 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 15.0  tf=0.16831 (0.746 d)  fly=0.00km  acc=0.0e+00  OK (34s)
  ( 2, 1) T= 12.0  tf=0.19022 (0.843 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.20993 (0.931 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.25378 (1.125 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  5.0  tf=0.30244 (1.341 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.39244 (1.740 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.48058 (2.130 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.55400 (2.456 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.67664 (2.999 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 15.0  tf=0.16085 (0.713 d)  fly=0.00km  acc=0.0e+00  OK (95s)
  ( 3, 1) T= 12.0  tf=0.18167 (0.805 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T= 10.0  tf=0.20041 (0.888 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.24215 (1.073 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.28861 (1.279 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.37521 (1.663 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  direct fail (defect 8.5e-08) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 3 cells]
THRUST LADDER DONE: 24 verified entries over 36 cells, 5.7 min
THRUST LADDER: 33 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (3 cells resumed/skipped)
  ( 4, 1) T= 15.0  tf=0.15778 (0.699 d)  fly=0.00km  acc=0.0e+00  OK (70s)
  ( 4, 1) T= 12.0  tf=0.17828 (0.790 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T= 10.0  tf=0.19676 (0.872 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  7.0  tf=0.23752 (1.053 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  5.0  tf=0.28301 (1.254 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 4, 1) T=  3.0  tf=0.36714 (1.627 d)  fly=0.02km  acc=NaN  fail (3s)
  ( 4, 1) T=  2.0  tf=0.44930 (1.992 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 4, 1) T=  1.5  tf=0.51731 (2.293 d)  fly=0.01km  acc=NaN  fail (2s)
  ( 4, 1) T=  1.0  tf=0.62908 (2.788 d)  fly=0.01km  acc=NaN  fail (12s)
  ( 5, 1) T= 15.0  tf=0.16426 (0.728 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 5, 1) T= 12.0  tf=0.18600 (0.824 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T= 10.0  tf=0.20566 (0.912 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  7.0  tf=0.24963 (1.107 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  5.0  tf=0.29876 (1.324 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  3.0  tf=0.39026 (1.730 d)  fly=0.01km  acc=NaN  fail (2s)
  ( 5, 1) T=  2.0  tf=0.48024 (2.129 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  1.5  tf=0.55511 (2.461 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  1.0  tf=0.67882 (3.009 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T= 15.0  tf=0.17099 (0.758 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 6, 1) T= 12.0  tf=0.19362 (0.858 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T= 10.0  tf=0.21403 (0.949 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  7.0  tf=0.25959 (1.151 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  5.0  tf=0.31033 (1.376 d)  fly=0.02km  acc=NaN  fail (2s)
  ( 6, 1) T=  3.0  tf=0.40457 (1.793 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  2.0  tf=0.49727 (2.204 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  1.5  tf=0.57477 (2.548 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  1.0  tf=0.70002 (3.103 d)  fly=0.02km  acc=NaN  fail (4s)
  ( 1, 2) T= 15.0  tf=0.17199 (0.762 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 1, 2) T= 12.0  tf=0.19468 (0.863 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T= 10.0  tf=0.21514 (0.954 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  7.0  tf=0.26078 (1.156 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  5.0  tf=0.31158 (1.381 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  3.0  tf=0.40604 (1.800 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 2) T=  2.0  tf=0.49911 (2.212 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  ( 1, 2) T=  1.5  tf=0.57700 (2.558 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  1.0  tf=0.70726 (3.135 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T= 15.0  tf=0.17010 (0.754 d)  fly=0.00km  acc=0.0e+00  OK (15s)
  ( 2, 2) T= 12.0  tf=0.19236 (0.853 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T= 10.0  tf=0.21240 (0.942 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  7.0  tf=0.25705 (1.139 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  5.0  tf=0.30668 (1.359 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  3.0  tf=0.39874 (1.767 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  2.0  tf=0.48924 (2.169 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  1.5  tf=0.56486 (2.504 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  1.0  tf=0.69157 (3.065 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T= 15.0  tf=0.16269 (0.721 d)  fly=0.00km  acc=0.0e+00  OK (29s)
  ( 3, 2) T= 12.0  tf=0.18377 (0.815 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T= 10.0  tf=0.20276 (0.899 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T=  7.0  tf=0.24505 (1.086 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  5.0  tf=0.29211 (1.295 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 2) T=  3.0  tf=0.37983 (1.684 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 3, 2) T=  2.0  tf=0.46719 (2.071 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  1.5  tf=0.54174 (2.401 d)  fly=0.00km  acc=0.0e+00  OK (6s)
  ( 3, 2) T=  1.0  tf=0.67194 (2.978 d)  fly=0.00km  acc=0.0e+00  OK (24s)
  [batch wall budget reached -- exiting cleanly after 6 cells]
THRUST LADDER DONE: 71 verified entries over 33 cells, 4.7 min
THRUST LADDER: 27 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (9 cells resumed/skipped)
  ( 4, 2) T= 15.0  tf=0.15623 (0.692 d)  fly=0.00km  acc=0.0e+00  OK (85s)
  ( 4, 2) T= 12.0  tf=0.17650 (0.782 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T= 10.0  tf=0.19476 (0.863 d)  fly=0.21km  acc=NaN  fail (1s)
  ( 4, 2) T=  7.0  tf=0.23545 (1.044 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  5.0  tf=0.28070 (1.244 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  3.0  tf=0.36455 (1.616 d)  fly=0.00km  acc=NaN  fail (2s)
  ( 4, 2) T=  2.0  tf=0.44665 (1.980 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T=  1.5  tf=0.51478 (2.282 d)  fly=0.00km  acc=NaN  fail (1s)
  ( 4, 2) T=  1.0  tf=0.62711 (2.780 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T= 15.0  tf=0.15991 (0.709 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 5, 2) T= 12.0  tf=0.18111 (0.803 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T= 10.0  tf=0.20031 (0.888 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T=  7.0  tf=0.24341 (1.079 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T=  5.0  tf=0.29182 (1.294 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T=  3.0  tf=0.38269 (1.696 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T=  2.0  tf=0.47269 (2.095 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T=  1.5  tf=0.54787 (2.429 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T=  1.0  tf=0.67251 (2.981 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 2) T= 15.0  tf=0.16793 (0.744 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 6, 2) T= 12.0  tf=0.19027 (0.843 d)  fly=22.06km  acc=NaN  fail (3s)
  ( 6, 2) T= 10.0  tf=0.21048 (0.933 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 2) T=  7.0  tf=0.25575 (1.134 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 2) T=  5.0  tf=0.30639 (1.358 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 2) T=  3.0  tf=0.40084 (1.777 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 2) T=  2.0  tf=0.49369 (2.188 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 2) T=  1.5  tf=0.57093 (2.531 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 2) T=  1.0  tf=0.69886 (3.098 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T= 15.0  tf=0.43293 flown 959192.1 km > gate -- ladder stops
  ( 2, 3) T= 15.0  tf=0.16764 (0.743 d)  fly=0.00km  acc=0.0e+00  OK (27s)
  ( 2, 3) T= 12.0  tf=0.18964 (0.841 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 3) T= 10.0  tf=0.20949 (0.929 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 3) T=  7.0  tf=0.25382 (1.125 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 3) T=  5.0  tf=0.30332 (1.345 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T=  3.0  tf=0.39591 (1.755 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 3) T=  2.0  tf=0.48808 (2.163 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  ( 2, 3) T=  1.5  tf=0.56618 (2.510 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T=  1.0  tf=0.69948 (3.101 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 5 cells]
THRUST LADDER DONE: 103 verified entries over 27 cells, 4.0 min
THRUST LADDER: 23 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (13 cells resumed/skipped)
  ( 1, 3) T= 15.0  tf=0.43293 flown 959192.1 km > gate -- ladder stops
  ( 3, 3) T= 15.0  tf=0.15997 (0.709 d)  fly=0.00km  acc=0.0e+00  OK (92s)
  ( 3, 3) T= 12.0  tf=0.18075 (0.801 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 3) T= 10.0  tf=0.19949 (0.884 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 3) T=  7.0  tf=0.24131 (1.070 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 3) T=  5.0  tf=0.28799 (1.277 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 3, 3) T=  3.0  tf=0.37540 (1.664 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 3) T=  2.0  tf=0.44929 (1.992 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 3) T=  1.5  tf=0.51527 (2.284 d)  fly=0.00km  acc=0.0e+00  OK (8s)
  ( 3, 3) T=  1.0  tf=0.62213 (2.758 d)  fly=0.03km  acc=NaN  fail (2s)
  ( 4, 3) T= 15.0  tf=0.15232 (0.675 d)  fly=0.00km  acc=0.0e+00  OK (73s)
  ( 4, 3) T= 12.0  tf=0.17205 (0.763 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 3) T= 10.0  tf=0.18984 (0.841 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T=  7.0  tf=0.22950 (1.017 d)  fly=0.09km  acc=NaN  fail (1s)
  ( 4, 3) T=  5.0  tf=0.27364 (1.213 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T=  3.0  tf=0.35550 (1.576 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 3) T=  2.0  tf=0.43568 (1.931 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T=  1.5  tf=0.50220 (2.226 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T=  1.0  tf=0.61179 (2.712 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 3 cells]
THRUST LADDER DONE: 118 verified entries over 23 cells, 4.1 min
THRUST LADDER: 20 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (16 cells resumed/skipped)
  ( 5, 3) T= 15.0  tf=0.15550 (0.689 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 5, 3) T= 12.0  tf=0.17600 (0.780 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 3) T= 10.0  tf=0.19457 (0.862 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 3) T=  7.0  tf=0.23624 (1.047 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  5.0  tf=0.28306 (1.255 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  3.0  tf=0.37108 (1.645 d)  fly=2.49km  acc=NaN  fail (2s)
  ( 5, 3) T=  2.0  tf=0.45856 (2.033 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 3) T=  1.5  tf=0.53186 (2.358 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 3) T=  1.0  tf=0.65360 (2.897 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T= 15.0  tf=0.16412 (0.728 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 6, 3) T= 12.0  tf=0.18589 (0.824 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 3) T= 10.0  tf=0.20559 (0.911 d)  fly=12.25km  acc=NaN  fail (2s)
  ( 6, 3) T=  7.0  tf=0.24973 (1.107 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 3) T=  5.0  tf=0.29922 (1.326 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 3) T=  3.0  tf=0.39178 (1.737 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 3) T=  2.0  tf=0.48314 (2.142 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 3) T=  1.5  tf=0.55927 (2.479 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  1.0  tf=0.68530 (3.038 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 4) T= 15.0  tf=0.16601 (0.736 d)  fly=0.03km  acc=NaN  fail (9s)
  ( 1, 4) T= 12.0  tf=0.18776 (0.832 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 4) T= 10.0  tf=0.20737 (0.919 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 4) T=  7.0  tf=0.25118 (1.113 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 1, 4) T=  5.0  tf=0.30013 (1.330 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 1, 4) T=  3.0  tf=0.38782 (1.719 d)  fly=0.08km  acc=NaN  fail (3s)
  ( 1, 4) T=  2.0  tf=0.47485 (2.105 d)  fly=0.05km  acc=NaN  fail (10s)
  ( 1, 4) T=  1.5  tf=0.54682 (2.424 d)  fly=0.03km  acc=NaN  fail (12s)
