  ( 2, 2) T=  2.0  tf=0.44690 (1.981 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  1.5  tf=0.51290 (2.274 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  1.0  tf=0.62027 (2.749 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T= 15.0  tf=0.14655 (0.650 d)  fly=0.00km  acc=0.0e+00  OK (63s)
  ( 3, 2) T= 12.0  tf=0.16500 (0.731 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 3, 2) T= 10.0  tf=0.18156 (0.805 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  7.0  tf=0.21825 (0.967 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  5.0  tf=0.25876 (1.147 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  3.0  tf=0.33343 (1.478 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  2.0  tf=0.40699 (1.804 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  1.5  tf=0.46977 (2.082 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  1.0  tf=0.58438 (2.590 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T= 15.0  tf=0.13170 (0.584 d)  fly=0.00km  acc=NaN  fail (72s)
  ( 4, 2) T= 12.0  tf=0.14972 (0.664 d)  fly=0.00km  acc=NaN  fail (4s)
  ( 4, 2) T= 10.0  tf=0.16628 (0.737 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 4, 2) T=  7.0  tf=0.20424 (0.905 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 4, 2) T=  5.0  tf=0.24803 (1.099 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 2) T=  3.0  tf=0.33272 (1.475 d)  fly=0.00km  acc=0.0e+00  OK (8s)
  ( 4, 2) T=  2.0  tf=0.41858 (1.855 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 4, 2) T=  1.5  tf=0.49118 (2.177 d)  fly=0.00km  acc=1.7e-10  OK (16s)
  ( 4, 2) T=  1.0  tf=0.61304 (2.717 d)  fly=0.28km  acc=NaN  fail (12s)
  [batch wall budget reached -- exiting cleanly after 3 cells]
THRUST LADDER DONE: 49 verified entries over 29 cells, 5.0 min
THRUST LADDER: 26 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (10 cells resumed/skipped)
  ( 5, 2) T= 15.0  tf=0.14646 (0.649 d)  fly=0.00km  acc=0.0e+00  OK (33s)
  ( 5, 2) T= 12.0  tf=0.16621 (0.737 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T= 10.0  tf=0.18421 (0.817 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T=  7.0  tf=0.22504 (0.998 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T=  5.0  tf=0.27159 (1.204 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T=  3.0  tf=0.36098 (1.600 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T=  2.0  tf=0.45211 (2.004 d)  fly=1.37km  acc=NaN  fail (2s)
  ( 5, 2) T=  1.5  tf=0.53005 (2.350 d)  fly=3.93km  acc=NaN  fail (2s)
  ( 5, 2) T=  1.0  tf=0.66207 (2.935 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 2) T= 15.0  tf=0.15914 (0.705 d)  fly=0.00km  acc=0.0e+00  OK (33s)
  ( 6, 2) T= 12.0  tf=0.18036 (0.799 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 2) T= 10.0  tf=0.19960 (0.885 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 2) T=  7.0  tf=0.24290 (1.077 d)  fly=0.00km  acc=0.0e+00  OK (2s)
