THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.16337 (0.724 d)  fly=0.00km  acc=0.0e+00  OK (68s)
  ( 1, 1) T= 12.0  tf=0.18474 (0.819 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.20402 (0.904 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.24703 (1.095 d)  fly=1.94km  acc=NaN  fail (2s)
  ( 1, 1) T=  5.0  tf=0.29492 (1.307 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.38374 (1.701 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.47059 (2.086 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.54242 (2.404 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.66024 (2.927 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 15.0  tf=0.15622 (0.692 d)  fly=1.94km  acc=NaN  fail (53s)
  ( 2, 1) T= 12.0  tf=0.17618 (0.781 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.19411 (0.860 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.23385 (1.037 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  5.0  tf=0.27770 (1.231 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.35801 (1.587 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.43539 (1.930 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.49868 (2.210 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.60151 (2.666 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 16 verified entries over 36 cells, 2.4 min
THRUST LADDER: 34 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (2 cells resumed/skipped)
  ( 3, 1) T= 15.0  tf=0.13909 (0.617 d)  fly=0.00km  acc=0.0e+00  OK (69s)
  ( 3, 1) T= 12.0  tf=0.15630 (0.693 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T= 10.0  tf=0.17171 (0.761 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.20571 (0.912 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.24304 (1.077 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.31124 (1.380 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.37758 (1.674 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.43335 (1.921 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.53144 (2.356 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 15.0  tf=0.12906 (0.572 d)  fly=0.00km  acc=0.0e+00  OK (44s)
  ( 4, 1) T= 12.0  tf=0.14684 (0.651 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 10.0  tf=0.16327 (0.724 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 1) T=  7.0  tf=0.20129 (0.892 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  5.0  tf=0.24585 (1.090 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  3.0  tf=0.33354 (1.478 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  2.0  tf=0.42257 (1.873 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.5  tf=0.49565 (2.197 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  1.0  tf=0.60969 (2.703 d)  fly=0.00km  acc=NaN  fail (2s)
  ( 5, 1) T= 15.0  tf=0.14966 (0.663 d)  fly=0.00km  acc=0.0e+00  OK (32s)
  ( 5, 1) T= 12.0  tf=0.16982 (0.753 d)  fly=1.90km  acc=NaN  fail (2s)
  ( 5, 1) T= 10.0  tf=0.18816 (0.834 d)  fly=1.33km  acc=NaN  fail (2s)
  ( 5, 1) T=  7.0  tf=0.22965 (1.018 d)  fly=1.03km  acc=NaN  fail (2s)
  ( 5, 1) T=  5.0  tf=0.27677 (1.227 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  3.0  tf=0.36659 (1.625 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  2.0  tf=0.45721 (2.027 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  1.5  tf=0.53395 (2.367 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.0  tf=0.66265 (2.937 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T= 15.0  tf=0.16155 (0.716 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 6, 1) T= 12.0  tf=0.18303 (0.811 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T= 10.0  tf=0.20249 (0.898 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  7.0  tf=0.24616 (1.091 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  5.0  tf=0.29523 (1.309 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  3.0  tf=0.38739 (1.717 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  2.0  tf=0.47885 (2.123 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.5  tf=0.55537 (2.462 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.0  tf=0.68233 (3.025 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T= 15.0  tf=0.16368 (0.726 d)  fly=0.00km  acc=0.0e+00  OK (58s)
