  ( 6, 1) T=  3.0  tf=0.31316 (1.388 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  2.0  tf=0.38493 (1.706 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.5  tf=0.44474 (1.971 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.0  tf=0.54344 (2.409 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T= 15.0  tf=0.13011 (0.577 d)  fly=0.97km  acc=NaN  fail (22s)
  ( 1, 2) T= 12.0  tf=0.14701 (0.652 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T= 10.0  tf=0.16232 (0.720 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  7.0  tf=0.19675 (0.872 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  5.0  tf=0.23551 (1.044 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  3.0  tf=0.30866 (1.368 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  2.0  tf=0.38182 (1.692 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  1.5  tf=0.44354 (1.966 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  1.0  tf=0.54694 (2.424 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T= 15.0  tf=0.13762 (0.610 d)  fly=0.00km  acc=0.0e+00  OK (73s)
  ( 2, 2) T= 12.0  tf=0.15557 (0.690 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T= 10.0  tf=0.17184 (0.762 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  7.0  tf=0.20840 (0.924 d)  fly=1.14km  acc=NaN  fail (2s)
  ( 2, 2) T=  5.0  tf=0.24960 (1.106 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  3.0  tf=0.32760 (1.452 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  2.0  tf=0.40614 (1.800 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 2, 2) T=  1.5  tf=0.47312 (2.097 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  1.0  tf=0.58773 (2.605 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T= 15.0  tf=0.14841 (0.658 d)  fly=0.00km  acc=0.0e+00  OK (62s)
  ( 3, 2) T= 12.0  tf=0.16816 (0.745 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T= 10.0  tf=0.18613 (0.825 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T=  7.0  tf=0.22677 (1.005 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T=  5.0  tf=0.27305 (1.210 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  3.0  tf=0.36251 (1.607 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  2.0  tf=0.45615 (2.022 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  1.5  tf=0.54035 (2.395 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  1.0  tf=0.70033 (3.104 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 5 cells]
THRUST LADDER DONE: 73 verified entries over 32 cells, 4.8 min
THRUST LADDER: 27 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (9 cells resumed/skipped)
  ( 4, 2) T= 15.0  tf=0.15305 (0.678 d)  fly=0.00km  acc=0.0e+00  OK (72s)
  ( 4, 2) T= 12.0  tf=0.17285 (0.766 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 2) T= 10.0  tf=0.19069 (0.845 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T=  7.0  tf=0.23043 (1.021 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 2) T=  5.0  tf=0.27463 (1.217 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T=  3.0  tf=0.35652 (1.580 d)  fly=1.23km  acc=NaN  fail (2s)
  ( 4, 2) T=  2.0  tf=0.43657 (1.935 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T=  1.5  tf=0.50280 (2.229 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T=  1.0  tf=0.61123 (2.709 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T= 15.0  tf=0.13448 (0.596 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 5, 2) T= 12.0  tf=0.15200 (0.674 d)  fly=0.00km  acc=0.0e+00  OK (1s)
