THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.16205 (0.718 d)  fly=0.00km  acc=0.0e+00  OK (56s)
  ( 1, 1) T= 12.0  tf=0.18326 (0.812 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.20239 (0.897 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.24510 (1.086 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.29269 (1.297 d)  fly=1.60km  acc=NaN  fail (2s)
  ( 1, 1) T=  3.0  tf=0.38105 (1.689 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  2.0  tf=0.46754 (2.072 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  1.5  tf=0.53907 (2.390 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.65623 (2.909 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 15.0  tf=0.16194 (0.718 d)  fly=0.00km  acc=0.0e+00  OK (60s)
  ( 2, 1) T= 12.0  tf=0.18306 (0.811 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.20210 (0.896 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.24458 (1.084 d)  fly=1.48km  acc=NaN  fail (2s)
  ( 2, 1) T=  5.0  tf=0.29186 (1.294 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  3.0  tf=0.37960 (1.683 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.46555 (2.064 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 2, 1) T=  1.5  tf=0.53686 (2.380 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.65458 (2.902 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 15.0  tf=0.16208 (0.718 d)  fly=1.48km  acc=NaN  fail (51s)
  ( 3, 1) T= 12.0  tf=0.18325 (0.812 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T= 10.0  tf=0.20235 (0.897 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  7.0  tf=0.24499 (1.086 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  5.0  tf=0.29257 (1.297 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  3.0  tf=0.38131 (1.690 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.46915 (2.080 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  1.5  tf=0.54312 (2.407 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.66880 (2.965 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 15.0  tf=0.16287 (0.722 d)  fly=0.00km  acc=0.0e+00  OK (73s)
  ( 4, 1) T= 12.0  tf=0.18426 (0.817 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T= 10.0  tf=0.20357 (0.902 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  7.0  tf=0.24675 (1.094 d)  fly=0.00km  acc=0.0e+00  OK (2s)
