THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.10515 (0.466 d)  fly=0.00km  acc=0.0e+00  OK (44s)
  ( 1, 1) T= 12.0  tf=0.11835 (0.525 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.13027 (0.577 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 1) T=  7.0  tf=0.15691 (0.696 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.18665 (0.827 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.24209 (1.073 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.29672 (1.315 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.34224 (1.517 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.41763 (1.851 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 15.0  tf=0.10743 (0.476 d)  fly=0.00km  acc=0.0e+00  OK (57s)
  ( 2, 1) T= 12.0  tf=0.12100 (0.536 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.13326 (0.591 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  7.0  tf=0.16076 (0.713 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  5.0  tf=0.19164 (0.849 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.24990 (1.108 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.30865 (1.368 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.35921 (1.592 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.44825 (1.987 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 15.0  tf=0.12123 (0.537 d)  fly=0.00km  acc=0.0e+00  OK (69s)
  ( 3, 1) T= 12.0  tf=0.13728 (0.609 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.15195 (0.674 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.18544 (0.822 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  5.0  tf=0.22423 (0.994 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  3.0  tf=0.30195 (1.338 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.38915 (1.725 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.47554 (2.108 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.67783 (3.005 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T= 15.0  tf=0.13910 (0.617 d)  fly=0.00km  acc=9.2e-11  OK (28s)
  ( 4, 1) T= 12.0  tf=0.15611 (0.692 d)  fly=0.00km  acc=1.8e-10  OK (2s)
  ( 4, 1) T= 10.0  tf=0.17131 (0.759 d)  fly=0.03km  acc=NaN  fail (1s)
  ( 4, 1) T=  7.0  tf=0.20474 (0.908 d)  fly=0.02km  acc=NaN  fail (1s)
  ( 4, 1) T=  5.0  tf=0.24132 (1.070 d)  fly=0.02km  acc=NaN  fail (1s)
  ( 4, 1) T=  3.0  tf=0.30763 (1.364 d)  fly=0.01km  acc=NaN  fail (14s)
  ( 4, 1) T=  2.0  tf=0.37092 (1.644 d)  fly=0.01km  acc=NaN  fail (3s)
  ( 4, 1) T=  1.5  tf=0.42230 (1.872 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 1) T=  1.0  tf=0.50487 (2.238 d)  fly=0.00km  acc=0.0e+00  OK (38s)
  [batch wall budget reached -- exiting cleanly after 4 cells]
THRUST LADDER DONE: 31 verified entries over 36 cells, 4.9 min
THRUST LADDER: 32 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (4 cells resumed/skipped)
  ( 5, 1) T= 15.0  tf=0.11528 (0.511 d)  fly=0.00km  acc=0.0e+00  OK (69s)
  ( 5, 1) T= 12.0  tf=0.12967 (0.575 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T= 10.0  tf=0.14262 (0.632 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  7.0  tf=0.17149 (0.760 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  5.0  tf=0.20363 (0.903 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  3.0  tf=0.26333 (1.167 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  2.0  tf=0.32200 (1.427 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 5, 1) T=  1.5  tf=0.37084 (1.644 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.0  tf=0.45156 (2.002 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T= 15.0  tf=0.10708 (0.475 d)  fly=0.00km  acc=0.0e+00  OK (76s)
  ( 6, 1) T= 12.0  tf=0.12057 (0.534 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T= 10.0  tf=0.13276 (0.588 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  7.0  tf=0.16002 (0.709 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  5.0  tf=0.19050 (0.844 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  3.0  tf=0.24746 (1.097 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  2.0  tf=0.30373 (1.346 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.5  tf=0.35068 (1.554 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.0  tf=0.42836 (1.899 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T= 15.0  tf=0.10447 (0.463 d)  fly=0.00km  acc=0.0e+00  OK (26s)
  ( 1, 2) T= 12.0  tf=0.11783 (0.522 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T= 10.0  tf=0.12994 (0.576 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  7.0  tf=0.15718 (0.697 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  5.0  tf=0.18791 (0.833 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  3.0  tf=0.24608 (1.091 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  2.0  tf=0.30454 (1.350 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  1.5  tf=0.35412 (1.570 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  1.0  tf=0.43791 (1.941 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T= 15.0  tf=0.11006 (0.488 d)  fly=0.00km  acc=0.0e+00  OK (80s)
  ( 2, 2) T= 12.0  tf=0.12422 (0.551 d)  fly=0.75km  acc=NaN  fail (2s)
  ( 2, 2) T= 10.0  tf=0.13708 (0.608 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  7.0  tf=0.16609 (0.736 d)  fly=0.00km  acc=0.0e+00  OK (2s)
