THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.16983 (0.753 d)  fly=0.00km  acc=0.0e+00  OK (14s)
  ( 1, 1) T= 12.0  tf=0.19218 (0.852 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.21235 (0.941 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.25735 (1.141 d)  fly=1.54km  acc=NaN  fail (2s)
  ( 1, 1) T=  5.0  tf=0.30748 (1.363 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.40057 (1.776 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  2.0  tf=0.49176 (2.180 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  1.5  tf=0.56736 (2.515 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.69186 (3.067 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 8 verified entries over 36 cells, 0.5 min
THRUST LADDER: 35 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (1 cells resumed/skipped)
  ( 2, 1) T= 15.0  tf=0.16836 (0.746 d)  fly=0.00km  acc=0.0e+00  OK (81s)
  ( 2, 1) T= 12.0  tf=0.19040 (0.844 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.21026 (0.932 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.25454 (1.128 d)  fly=2.12km  acc=NaN  fail (2s)
  ( 2, 1) T=  5.0  tf=0.30382 (1.347 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  3.0  tf=0.39526 (1.752 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  2.0  tf=0.48502 (2.150 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.55977 (2.481 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.68426 (3.033 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 15.0  tf=0.16632 (0.737 d)  fly=0.00km  acc=0.0e+00  OK (75s)
  ( 3, 1) T= 12.0  tf=0.18809 (0.834 d)  fly=1.48km  acc=NaN  fail (2s)
  ( 3, 1) T= 10.0  tf=0.20773 (0.921 d)  fly=1.21km  acc=NaN  fail (2s)
  ( 3, 1) T=  7.0  tf=0.25159 (1.115 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  5.0  tf=0.30055 (1.332 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  3.0  tf=0.39205 (1.738 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.48305 (2.141 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.56017 (2.483 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  1.0  tf=0.69255 (3.070 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 15.0  tf=0.16609 (0.736 d)  fly=2.36km  acc=NaN  fail (9s)
  ( 4, 1) T= 12.0  tf=0.18801 (0.833 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T= 10.0  tf=0.20782 (0.921 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  7.0  tf=0.25219 (1.118 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  5.0  tf=0.30195 (1.338 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  3.0  tf=0.39550 (1.753 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  2.0  tf=0.48913 (2.168 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.5  tf=0.56878 (2.521 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.0  tf=0.70534 (3.127 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T= 15.0  tf=0.16825 (0.746 d)  fly=0.00km  acc=0.0e+00  OK (68s)
  ( 5, 1) T= 12.0  tf=0.19059 (0.845 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T= 10.0  tf=0.21080 (0.934 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  7.0  tf=0.25609 (1.135 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  5.0  tf=0.30687 (1.360 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  3.0  tf=0.40212 (1.782 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  2.0  tf=0.49670 (2.202 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.5  tf=0.57612 (2.554 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.0  tf=0.70905 (3.143 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 4 cells]
THRUST LADDER DONE: 40 verified entries over 35 cells, 4.7 min
THRUST LADDER: 31 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (5 cells resumed/skipped)
  ( 6, 1) T= 15.0  tf=0.16997 (0.753 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 6, 1) T= 12.0  tf=0.19249 (0.853 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T= 10.0  tf=0.21283 (0.943 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  7.0  tf=0.25833 (1.145 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  5.0  tf=0.30920 (1.371 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  3.0  tf=0.40406 (1.791 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  2.0  tf=0.49745 (2.205 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  1.5  tf=0.57515 (2.549 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.0  tf=0.70349 (3.118 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T= 15.0  tf=0.16724 (0.741 d)  fly=0.00km  acc=0.0e+00  OK (58s)
  ( 1, 2) T= 12.0  tf=0.18958 (0.840 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T= 10.0  tf=0.20981 (0.930 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  7.0  tf=0.25522 (1.131 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  5.0  tf=0.30623 (1.357 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  3.0  tf=0.40203 (1.782 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  2.0  tf=0.49709 (2.203 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  1.5  tf=0.57664 (2.556 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  1.0  tf=0.70886 (3.142 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T= 15.0  tf=0.16847 (0.747 d)  fly=0.00km  acc=0.0e+00  OK (45s)
  ( 2, 2) T= 12.0  tf=0.19082 (0.846 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T= 10.0  tf=0.21102 (0.935 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  7.0  tf=0.25624 (1.136 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  5.0  tf=0.30686 (1.360 d)  fly=4.55km  acc=NaN  fail (2s)
  ( 2, 2) T=  3.0  tf=0.40149 (1.780 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  2.0  tf=0.49506 (2.194 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  1.5  tf=0.57335 (2.541 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  1.0  tf=0.70411 (3.121 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T= 15.0  tf=0.17842 (0.791 d)  fly=0.28km  acc=NaN  fail (94s)
  ( 3, 2) T= 12.0  tf=0.18760 (0.832 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 2) T= 10.0  tf=0.20736 (0.919 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T=  7.0  tf=0.25157 (1.115 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T=  5.0  tf=0.30106 (1.335 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T=  3.0  tf=0.39376 (1.745 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  2.0  tf=0.48592 (2.154 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  1.5  tf=0.56375 (2.499 d)  fly=0.00km  acc=0.0e+00  OK (1s)
