THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 6, 1) T=  2.0  tf=0.19526 (0.866 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.5  tf=0.23092 (1.024 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.0  tf=0.35603 (1.578 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T= 15.0  tf=0.11278 (0.500 d)  fly=0.02km  acc=NaN  fail (122s)
  ( 1, 2) T= 12.0  tf=0.10333 (0.458 d)  fly=0.00km  acc=0.0e+00  OK (6s)
  ( 1, 2) T= 10.0  tf=0.11505 (0.510 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  7.0  tf=0.14246 (0.631 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  5.0  tf=0.17561 (0.778 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  3.0  tf=0.24866 (1.102 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  2.0  tf=0.34434 (1.526 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 2) T=  1.5  tf=0.29164 (1.293 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 2) T=  1.0  rejected pre-flight (minAlt 7241 km, tf 7.6759) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 6 cells]
THRUST LADDER DONE: 59 verified entries over 35 cells, 5.8 min
THRUST LADDER: 29 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (7 cells resumed/skipped)
  ( 2, 2) T= 15.0  tf=0.10137 (0.449 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 2, 2) T= 12.0  tf=0.11440 (0.507 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T= 10.0  tf=0.12621 (0.559 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  7.0  tf=0.15288 (0.678 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  5.0  tf=0.18338 (0.813 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  3.0  tf=0.24374 (1.080 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  2.0  tf=0.30938 (1.371 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  1.5  direct fail (defect 1.2e-06) -- ladder stops
  ( 3, 2) T= 15.0  tf=0.37600 flown 800000.1 km > gate -- ladder stops
  ( 4, 2) T= 15.0  tf=0.09084 (0.403 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 4, 2) T= 12.0  tf=0.10104 (0.448 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T= 10.0  tf=0.11002 (0.488 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  7.0  tf=0.12932 (0.573 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  5.0  tf=0.14969 (0.664 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  3.0  tf=0.18479 (0.819 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  2.0  tf=0.21681 (0.961 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  1.5  tf=0.24284 (1.076 d)  fly=0.00km  acc=0.0e+00  OK (1s)
THRUST LADDER: 27 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (9 cells resumed/skipped)
  ( 3, 2) T= 15.0  tf=0.37600 flown 800000.1 km > gate -- ladder stops
THRUST LADDER: 26 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (10 cells resumed/skipped)
