THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.08971 (0.398 d)  fly=0.00km  acc=0.0e+00  OK (23s)
  ( 1, 1) T= 12.0  tf=0.10125 (0.449 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  ( 1, 1) T= 10.0  tf=0.11181 (0.496 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  7.0  tf=0.13592 (0.602 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  5.0  tf=0.16392 (0.727 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.22025 (0.976 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.28313 (1.255 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.34333 (1.522 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.46444 (2.059 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 15.0  tf=0.11183 (0.496 d)  fly=0.00km  acc=0.0e+00  OK (40s)
  ( 2, 1) T= 12.0  tf=0.12662 (0.561 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 10.0  tf=0.14010 (0.621 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  7.0  tf=0.17068 (0.757 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  5.0  tf=0.20562 (0.911 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.27326 (1.211 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.34425 (1.526 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.40858 (1.811 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  direct fail (defect 7.1e-10) -- ladder stops
  ( 3, 1) T= 15.0  tf=0.11908 (0.528 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 3, 1) T= 12.0  tf=0.13439 (0.596 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.14825 (0.657 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.17938 (0.795 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.21445 (0.951 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.28160 (1.248 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.35264 (1.563 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.41919 (1.858 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  rejected pre-flight (minAlt 30182 km, tf 1.6932) -- ladder stops
  ( 4, 1) T= 15.0  tf=0.11781 (0.522 d)  fly=0.00km  acc=0.0e+00  OK (47s)
  ( 4, 1) T= 12.0  tf=0.13249 (0.587 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 10.0  tf=0.14568 (0.646 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  7.0  tf=0.17490 (0.775 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  5.0  tf=0.20711 (0.918 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  3.0  tf=0.26610 (1.180 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  2.0  tf=0.32331 (1.433 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.5  tf=0.37084 (1.644 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.0  rejected pre-flight (minAlt 28108 km, tf 1.7310) -- ladder stops
THRUST LADDER: 32 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (4 cells resumed/skipped)
THRUST LADDER: 31 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (5 cells resumed/skipped)
  ( 6, 1) T= 15.0  tf=0.10161 (0.450 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 6, 1) T= 12.0  tf=0.11359 (0.504 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T= 10.0  tf=0.12425 (0.551 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  7.0  tf=0.14756 (0.654 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  5.0  tf=0.17277 (0.766 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  3.0  tf=0.21761 (0.965 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  2.0  tf=0.25947 (1.150 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.5  tf=0.29314 (1.299 d)  fly=0.00km  acc=0.0e+00  OK (7s)
  ( 6, 1) T=  1.0  tf=0.34870 (1.546 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T= 15.0  tf=0.09206 (0.408 d)  fly=0.00km  acc=0.0e+00  OK (38s)
  ( 1, 2) T= 12.0  tf=0.10485 (0.465 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T= 10.0  tf=0.11668 (0.517 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  7.0  tf=0.14421 (0.639 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  5.0  tf=0.17682 (0.784 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  3.0  tf=0.24357 (1.080 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  2.0  tf=0.31844 (1.412 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  1.5  tf=0.38936 (1.726 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  1.0  tf=0.52763 (2.339 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 2, 2) T= 15.0  tf=0.11601 (0.514 d)  fly=0.00km  acc=0.0e+00  OK (47s)
  ( 2, 2) T= 12.0  tf=0.13151 (0.583 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T= 10.0  tf=0.14566 (0.646 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  7.0  tf=0.17777 (0.788 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  5.0  tf=0.21444 (0.951 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  3.0  tf=0.28520 (1.264 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  2.0  tf=0.35880 (1.590 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  1.5  tf=0.42438 (1.881 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  1.0  tf=0.54617 (2.421 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T= 15.0  tf=0.12010 (0.532 d)  fly=0.00km  acc=0.0e+00  OK (46s)
  ( 3, 2) T= 12.0  tf=0.13548 (0.601 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T= 10.0  tf=0.14938 (0.662 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  7.0  tf=0.18046 (0.800 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  5.0  tf=0.21524 (0.954 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  3.0  tf=0.28063 (1.244 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  2.0  tf=0.34706 (1.538 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 3, 2) T=  1.5  tf=0.40558 (1.798 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 3, 2) T=  1.0  tf=0.51372 (2.277 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T= 15.0  tf=0.11335 (0.502 d)  fly=0.00km  acc=0.0e+00  OK (28s)
  ( 4, 2) T= 12.0  tf=0.12737 (0.565 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T= 10.0  tf=0.13995 (0.620 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  7.0  tf=0.16779 (0.744 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  5.0  tf=0.19841 (0.880 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  3.0  tf=0.25427 (1.127 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  2.0  tf=0.30797 (1.365 d)  fly=0.00km  acc=0.0e+00  OK (1s)
