THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.08363 (0.371 d)  fly=0.00km  acc=0.0e+00  OK (8s)
  ( 1, 1) T= 12.0  tf=0.09448 (0.419 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T= 10.0  tf=0.10444 (0.463 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  7.0  tf=0.12735 (0.565 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  5.0  tf=0.15428 (0.684 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  3.0  tf=0.20966 (0.929 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.27394 (1.214 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.33869 (1.501 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 1, 1) T=  1.0  tf=0.48226 (2.138 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 15.0  tf=0.10848 (0.481 d)  fly=0.00km  acc=0.0e+00  OK (35s)
  ( 2, 1) T= 12.0  tf=0.12295 (0.545 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 10.0  tf=0.13617 (0.604 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  7.0  tf=0.16630 (0.737 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  5.0  tf=0.20094 (0.891 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.26903 (1.193 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.34297 (1.520 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  1.5  tf=0.41358 (1.833 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.56444 (2.502 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 3, 1) T= 15.0  tf=0.11522 (0.511 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 3, 1) T= 12.0  tf=0.13004 (0.576 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.14347 (0.636 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.17365 (0.770 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.20779 (0.921 d)  fly=0.00km  acc=0.0e+00  OK (3s)
THRUST LADDER: 33 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (3 cells resumed/skipped)
  ( 4, 1) T= 15.0  tf=0.11256 (0.499 d)  fly=0.00km  acc=0.0e+00  OK (36s)
  ( 4, 1) T= 12.0  tf=0.12642 (0.560 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 10.0  tf=0.13884 (0.615 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 1) T=  7.0  tf=0.16622 (0.737 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  5.0  tf=0.19622 (0.870 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  3.0  tf=0.25068 (1.111 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 1) T=  2.0  tf=0.30301 (1.343 d)  fly=0.00km  acc=0.0e+00  OK (33s)
  ( 4, 1) T=  1.5  tf=0.34630 (1.535 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 4, 1) T=  1.0  direct fail (defect 2.5e-12) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 31 verified entries over 33 cells, 4.2 min
THRUST LADDER: 32 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (4 cells resumed/skipped)
  ( 5, 1) T= 15.0  tf=0.13596 (0.603 d)  fly=0.04km  acc=NaN  fail (199s)
  ( 5, 1) T= 12.0  tf=0.12269 (0.544 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 5, 1) T= 10.0  tf=0.13446 (0.596 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  7.0  tf=0.16027 (0.710 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  5.0  tf=0.18828 (0.835 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  3.0  tf=0.23817 (1.056 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  2.0  tf=0.28451 (1.261 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.5  tf=0.32121 (1.424 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.0  tf=0.37918 (1.681 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T= 15.0  tf=0.09628 (0.427 d)  fly=0.00km  acc=0.0e+00  OK (21s)
  ( 6, 1) T= 12.0  tf=0.10740 (0.476 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T= 10.0  tf=0.11726 (0.520 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  7.0  tf=0.13870 (0.615 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  5.0  tf=0.16170 (0.717 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  3.0  tf=0.20216 (0.896 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  2.0  tf=0.23948 (1.062 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.5  tf=0.26934 (1.194 d)  fly=0.00km  acc=0.0e+00  OK (16s)
  ( 6, 1) T=  1.0  tf=0.31883 (1.413 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 48 verified entries over 32 cells, 4.3 min
THRUST LADDER: 30 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (6 cells resumed/skipped)
  ( 1, 2) T= 15.0  tf=0.07023 (0.311 d)  fly=0.00km  acc=0.0e+00  OK (16s)
  ( 1, 2) T= 12.0  tf=0.07735 (0.343 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T= 10.0  tf=0.08361 (0.371 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  7.0  tf=0.09718 (0.431 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  5.0  tf=0.11198 (0.496 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 1, 2) T=  3.0  tf=0.14092 (0.625 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 2) T=  2.0  tf=0.18321 (0.812 d)  fly=0.00km  acc=0.0e+00  OK (14s)
  ( 1, 2) T=  1.5  rejected pre-flight (minAlt 500 km, tf 3.7277) -- ladder stops
  ( 2, 2) T= 15.0  tf=0.08676 (0.385 d)  fly=0.00km  acc=0.0e+00  OK (54s)
  ( 2, 2) T= 12.0  tf=0.09861 (0.437 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T= 10.0  tf=0.10984 (0.487 d)  fly=0.00km  acc=0.0e+00  OK (1s)
