THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.10116 (0.448 d)  fly=0.00km  acc=0.0e+00  OK (33s)
  ( 1, 1) T= 12.0  tf=0.11412 (0.506 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.12592 (0.558 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  7.0  tf=0.15266 (0.677 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  5.0  tf=0.18332 (0.813 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.24347 (1.079 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.30805 (1.365 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.36719 (1.628 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.47810 (2.119 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 15.0  tf=0.11835 (0.525 d)  fly=0.00km  acc=0.0e+00  OK (8s)
  ( 2, 1) T= 12.0  tf=0.13383 (0.593 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.14792 (0.656 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  7.0  tf=0.17972 (0.797 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  5.0  tf=0.21581 (0.957 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.28483 (1.263 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.35558 (1.576 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  1.5  tf=0.41742 (1.850 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  1.0  tf=0.52886 (2.344 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T= 15.0  tf=0.12543 (0.556 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 3, 1) T= 12.0  tf=0.14157 (0.628 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.15617 (0.692 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.18895 (0.838 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.22583 (1.001 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.29604 (1.312 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.36890 (1.635 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.43503 (1.928 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.56443 (2.502 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 15.0  tf=0.12557 (0.557 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 4, 1) T= 12.0  tf=0.14148 (0.627 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 10.0  tf=0.15581 (0.691 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  7.0  tf=0.18773 (0.832 d)  fly=0.00km  acc=0.0e+00  OK (1s)
