  ( 6, 1) T=  1.0  tf=0.29987 (1.329 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T= 15.0  tf=0.09591 (0.425 d)  fly=0.00km  acc=0.0e+00  OK (7s)
  ( 1, 2) T= 12.0  tf=0.10915 (0.484 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T= 10.0  tf=0.12139 (0.538 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  7.0  tf=0.14984 (0.664 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  5.0  tf=0.18372 (0.814 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  3.0  tf=0.25578 (1.134 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  2.0  tf=0.34680 (1.537 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 1, 2) T=  1.5  tf=0.44985 (1.994 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 1, 2) T=  1.0  tf=0.38329 (1.699 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 2, 2) T= 15.0  tf=0.11448 (0.507 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 2, 2) T= 12.0  tf=0.12936 (0.573 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T= 10.0  tf=0.14287 (0.633 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  7.0  tf=0.17336 (0.768 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  5.0  tf=0.20814 (0.923 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  3.0  tf=0.27686 (1.227 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  2.0  tf=0.35369 (1.568 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  1.5  tf=0.42731 (1.894 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  1.0  tf=0.42032 (1.863 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T= 15.0  tf=0.11256 (0.499 d)  fly=0.00km  acc=0.0e+00  OK (25s)
  ( 3, 2) T= 12.0  tf=0.12627 (0.560 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T= 10.0  tf=0.13852 (0.614 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  7.0  tf=0.16548 (0.734 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  5.0  tf=0.19496 (0.864 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  3.0  tf=0.24888 (1.103 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 3, 2) T=  2.0  tf=0.30246 (1.341 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  1.5  tf=0.34950 (1.549 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  1.0  tf=0.43691 (1.937 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T= 15.0  tf=0.09710 (0.430 d)  fly=0.00km  acc=0.0e+00  OK (17s)
  ( 4, 2) T= 12.0  tf=0.10826 (0.480 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T= 10.0  tf=0.11812 (0.524 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  7.0  tf=0.13949 (0.618 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  5.0  tf=0.16230 (0.719 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  3.0  tf=0.20224 (0.896 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  2.0  tf=0.23912 (1.060 d)  fly=0.00km  acc=0.0e+00  OK (1s)
