THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.08969 (0.398 d)  fly=0.00km  acc=0.0e+00  OK (7s)
  ( 1, 1) T= 12.0  tf=0.10149 (0.450 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.11235 (0.498 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  7.0  tf=0.13750 (0.609 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.16731 (0.742 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  3.0  tf=0.22930 (1.016 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  2.0  tf=0.30081 (1.333 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.36978 (1.639 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.50530 (2.240 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 15.0  tf=0.12685 (0.562 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 2, 1) T= 12.0  tf=0.14363 (0.637 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 10.0  tf=0.15889 (0.704 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 1) T=  7.0  tf=0.19342 (0.857 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 1) T=  5.0  tf=0.23267 (1.031 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  3.0  tf=0.30795 (1.365 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.38561 (1.709 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.45425 (2.014 d)  fly=0.00km  acc=0.0e+00  OK (1s)
