THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.08401 (0.372 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 1, 1) T= 12.0  tf=0.09593 (0.425 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.10720 (0.475 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.13433 (0.595 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  5.0  tf=0.16828 (0.746 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.24288 (1.077 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 1) T=  2.0  tf=0.33080 (1.466 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 1, 1) T=  1.5  tf=0.41579 (1.843 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.58972 (2.614 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 15.0  tf=0.14269 (0.632 d)  fly=0.00km  acc=0.0e+00  OK (56s)
  ( 2, 1) T= 12.0  tf=0.16187 (0.717 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.17935 (0.795 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.21904 (0.971 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  5.0  tf=0.26446 (1.172 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.35291 (1.564 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.44687 (1.981 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.53307 (2.363 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.70087 (3.107 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 18 verified entries over 36 cells, 1.7 min
THRUST LADDER: 34 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (2 cells resumed/skipped)
  ( 3, 1) T= 15.0  tf=0.13672 (0.606 d)  fly=0.00km  acc=0.0e+00  OK (93s)
  ( 3, 1) T= 12.0  tf=0.15447 (0.685 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T= 10.0  tf=0.17054 (0.756 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  7.0  tf=0.20664 (0.916 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.24739 (1.097 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.32536 (1.442 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.40700 (1.804 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.48180 (2.136 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  direct fail (defect 2.7e-08) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 26 verified entries over 34 cells, 4.6 min
THRUST LADDER: 33 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (3 cells resumed/skipped)
  ( 4, 1) T= 15.0  tf=0.10750 (0.476 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 4, 1) T= 12.0  tf=0.12074 (0.535 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T= 10.0  tf=0.13262 (0.588 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  7.0  tf=0.15893 (0.704 d)  fly=0.00km  acc=0.0e+00  OK (1s)
