THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.11428 (0.507 d)  fly=0.00km  acc=0.0e+00  OK (53s)
  ( 1, 1) T= 12.0  tf=0.12874 (0.571 d)  fly=1.38km  acc=NaN  fail (2s)
  ( 1, 1) T= 10.0  tf=0.14180 (0.629 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.17102 (0.758 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.20370 (0.903 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.26477 (1.174 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  2.0  tf=0.32521 (1.442 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  1.5  tf=0.37581 (1.666 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.46015 (2.040 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 15.0  tf=0.11818 (0.524 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 2, 1) T= 12.0  tf=0.13314 (0.590 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.14664 (0.650 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.17680 (0.784 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  5.0  tf=0.21046 (0.933 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  3.0  tf=0.27312 (1.211 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.33474 (1.484 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.38596 (1.711 d)  fly=0.00km  acc=0.0e+00  OK (8s)
  ( 2, 1) T=  1.0  tf=0.47047 (2.085 d)  fly=0.00km  acc=0.0e+00  OK (20s)
  ( 3, 1) T= 15.0  tf=0.11902 (0.528 d)  fly=0.00km  acc=0.0e+00  OK (57s)
  ( 3, 1) T= 12.0  tf=0.13397 (0.594 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T= 10.0  tf=0.14743 (0.654 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  7.0  tf=0.17740 (0.786 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  5.0  tf=0.21069 (0.934 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  3.0  tf=0.27221 (1.207 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.33219 (1.472 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.38176 (1.692 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.46334 (2.054 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 3 cells]
THRUST LADDER DONE: 26 verified entries over 36 cells, 3.0 min
THRUST LADDER: 33 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (3 cells resumed/skipped)
  ( 4, 1) T= 15.0  tf=0.11725 (0.520 d)  fly=0.00km  acc=0.0e+00  OK (7s)
  ( 4, 1) T= 12.0  tf=0.13213 (0.586 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T= 10.0  tf=0.14556 (0.645 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 1) T=  7.0  tf=0.17560 (0.778 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  5.0  tf=0.20920 (0.927 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  3.0  tf=0.27207 (1.206 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  2.0  tf=0.33446 (1.483 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.5  tf=0.38697 (1.715 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.0  tf=0.47548 (2.108 d)  fly=0.00km  acc=0.0e+00  OK (18s)
  ( 5, 1) T= 15.0  tf=0.12085 (0.536 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 5, 1) T= 12.0  tf=0.13633 (0.604 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T= 10.0  tf=0.15033 (0.666 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  7.0  tf=0.18172 (0.805 d)  fly=0.89km  acc=NaN  fail (2s)
  ( 5, 1) T=  5.0  tf=0.21691 (0.961 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  3.0  tf=0.28297 (1.254 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  2.0  tf=0.34865 (1.545 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  1.5  tf=0.40389 (1.790 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.0  tf=0.49652 (2.201 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T= 15.0  tf=0.11825 (0.524 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 6, 1) T= 12.0  tf=0.13327 (0.591 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T= 10.0  tf=0.14683 (0.651 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  7.0  tf=0.17716 (0.785 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  5.0  tf=0.21107 (0.936 d)  fly=1.19km  acc=NaN  fail (2s)
