THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.11428 (0.507 d)  fly=0.00km  acc=0.0e+00  OK (15s)
  ( 1, 1) T= 12.0  tf=0.12895 (0.572 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.14228 (0.631 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.17241 (0.764 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.20675 (0.916 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  3.0  tf=0.27360 (1.213 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.34498 (1.529 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.41112 (1.822 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.54413 (2.412 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 15.0  tf=0.10664 (0.473 d)  fly=0.00km  acc=0.0e+00  OK (22s)
  ( 2, 1) T= 12.0  tf=0.11979 (0.531 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 10.0  tf=0.13164 (0.584 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.15807 (0.701 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  5.0  tf=0.18764 (0.832 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.24357 (1.080 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.30128 (1.335 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.35348 (1.567 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.45797 (2.030 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 15.0  tf=0.09290 (0.412 d)  fly=0.00km  acc=0.0e+00  OK (37s)
  ( 3, 1) T= 12.0  tf=0.10391 (0.461 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.11376 (0.504 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.13549 (0.601 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.15942 (0.707 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.20363 (0.903 d)  fly=0.00km  acc=0.0e+00  OK (1s)
