THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.11494 (0.509 d)  fly=0.00km  acc=0.0e+00  OK (45s)
  ( 1, 1) T= 12.0  tf=0.12957 (0.574 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 1) T= 10.0  tf=0.14281 (0.633 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  ( 1, 1) T=  7.0  tf=0.17254 (0.765 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.20603 (0.913 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.26960 (1.195 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.33445 (1.482 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.39116 (1.734 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.49462 (2.192 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 9 verified entries over 36 cells, 1.0 min
THRUST LADDER: 35 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (1 cells resumed/skipped)
  ( 2, 1) T= 15.0  tf=0.11491 (0.509 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 2, 1) T= 12.0  tf=0.12925 (0.573 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.14216 (0.630 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.17092 (0.758 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  5.0  tf=0.20292 (0.899 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 1) T=  3.0  tf=0.26246 (1.163 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 1) T=  2.0  tf=0.32145 (1.425 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.37142 (1.646 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.45836 (2.032 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 15.0  tf=0.11056 (0.490 d)  fly=0.00km  acc=0.0e+00  OK (61s)
  ( 3, 1) T= 12.0  tf=0.12412 (0.550 d)  fly=0.52km  acc=NaN  fail (2s)
  ( 3, 1) T= 10.0  tf=0.13629 (0.604 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  7.0  tf=0.16327 (0.724 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  5.0  tf=0.19309 (0.856 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 1) T=  3.0  tf=0.24797 (1.099 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 1) T=  2.0  tf=0.30166 (1.337 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.34669 (1.537 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.42418 (1.880 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 15.0  tf=0.10685 (0.474 d)  fly=0.00km  acc=0.0e+00  OK (19s)
  ( 4, 1) T= 12.0  tf=0.12043 (0.534 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T= 10.0  tf=0.13273 (0.588 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  7.0  tf=0.16041 (0.711 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  5.0  tf=0.19170 (0.850 d)  fly=0.00km  acc=0.0e+00  OK (8s)
  ( 4, 1) T=  3.0  tf=0.25161 (1.115 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  2.0  tf=0.31365 (1.390 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.5  tf=0.36901 (1.636 d)  fly=0.00km  acc=0.0e+00  OK (6s)
  ( 4, 1) T=  1.0  tf=0.47354 (2.099 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T= 15.0  tf=0.11661 (0.517 d)  fly=0.00km  acc=0.0e+00  OK (56s)
  ( 5, 1) T= 12.0  tf=0.13191 (0.585 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 5, 1) T= 10.0  tf=0.14585 (0.647 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  7.0  tf=0.17746 (0.787 d)  fly=1.05km  acc=NaN  fail (2s)
  ( 5, 1) T=  5.0  tf=0.21359 (0.947 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  3.0  tf=0.28374 (1.258 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  2.0  tf=0.35751 (1.585 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.5  tf=0.42399 (1.879 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.0  tf=0.54997 (2.438 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T= 15.0  tf=0.11840 (0.525 d)  fly=0.00km  acc=0.0e+00  OK (63s)
  ( 6, 1) T= 12.0  tf=0.13378 (0.593 d)  fly=1.32km  acc=NaN  fail (2s)
  ( 6, 1) T= 10.0  tf=0.14775 (0.655 d)  fly=0.88km  acc=NaN  fail (3s)
