THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.11746 (0.521 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 1, 1) T= 12.0  tf=0.13254 (0.588 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.14623 (0.648 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.17712 (0.785 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.21224 (0.941 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  3.0  tf=0.28036 (1.243 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.35293 (1.564 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.42063 (1.864 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.56227 (2.492 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 15.0  tf=0.11583 (0.513 d)  fly=0.00km  acc=0.0e+00  OK (68s)
  ( 2, 1) T= 12.0  tf=0.13028 (0.577 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.14331 (0.635 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.17240 (0.764 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 1) T=  5.0  tf=0.20494 (0.908 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 2, 1) T=  3.0  tf=0.26632 (1.180 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.32916 (1.459 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.38547 (1.709 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.49883 (2.211 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 3, 1) T= 15.0  tf=0.10944 (0.485 d)  fly=0.65km  acc=NaN  fail (56s)
  ( 3, 1) T= 12.0  tf=0.12281 (0.544 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T= 10.0  tf=0.13481 (0.598 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.16145 (0.716 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  5.0  tf=0.19098 (0.847 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 1) T=  3.0  tf=0.24596 (1.090 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 3, 1) T=  2.0  tf=0.30134 (1.336 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.35023 (1.552 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.44667 (1.980 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 15.0  tf=0.10520 (0.466 d)  fly=0.00km  acc=0.0e+00  OK (50s)
  ( 4, 1) T= 12.0  tf=0.11866 (0.526 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T= 10.0  tf=0.13090 (0.580 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 4, 1) T=  7.0  tf=0.15859 (0.703 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  5.0  tf=0.19025 (0.843 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  3.0  tf=0.25231 (1.118 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  2.0  tf=0.31984 (1.418 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.5  tf=0.38459 (1.705 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.0  rejected pre-flight (minAlt 4949 km, tf 4.9377) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 4 cells]
THRUST LADDER DONE: 34 verified entries over 36 cells, 4.7 min
THRUST LADDER: 32 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (4 cells resumed/skipped)
  ( 5, 1) T= 15.0  tf=0.11722 (0.520 d)  fly=0.00km  acc=0.0e+00  OK (105s)
  ( 5, 1) T= 12.0  tf=0.13284 (0.589 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T= 10.0  tf=0.14712 (0.652 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  7.0  tf=0.17977 (0.797 d)  fly=0.63km  acc=NaN  fail (2s)
  ( 5, 1) T=  5.0  tf=0.21756 (0.964 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  3.0  tf=0.29286 (1.298 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  2.0  tf=0.37596 (1.666 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.5  tf=0.45572 (2.020 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.0  tf=0.62329 (2.763 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T= 15.0  tf=0.12062 (0.535 d)  fly=0.86km  acc=NaN  fail (77s)
  ( 6, 1) T= 12.0  tf=0.13652 (0.605 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T= 10.0  tf=0.15101 (0.669 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  7.0  tf=0.18401 (0.816 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  5.0  tf=0.22198 (0.984 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  3.0  tf=0.29700 (1.316 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  2.0  tf=0.37883 (1.679 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.5  tf=0.45653 (2.024 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.0  tf=0.61874 (2.743 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T= 15.0  tf=0.12937 (0.573 d)  fly=0.00km  acc=0.0e+00  OK (17s)
  ( 1, 2) T= 12.0  tf=0.14680 (0.651 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T= 10.0  tf=0.16276 (0.721 d)  fly=1.16km  acc=NaN  fail (2s)
