THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.11705 (0.519 d)  fly=0.00km  acc=0.0e+00  OK (53s)
  ( 1, 1) T= 12.0  tf=0.13211 (0.586 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.14577 (0.646 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.17665 (0.783 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.21180 (0.939 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  3.0  tf=0.28002 (1.241 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.35236 (1.562 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.41874 (1.856 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.54983 (2.437 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 15.0  tf=0.11205 (0.497 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 2, 1) T= 12.0  tf=0.12594 (0.558 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.13845 (0.614 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.16634 (0.737 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  5.0  tf=0.19748 (0.875 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.25598 (1.135 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.31528 (1.398 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.36742 (1.629 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.46591 (2.065 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 15.0  tf=0.10532 (0.467 d)  fly=0.00km  acc=0.0e+00  OK (35s)
  ( 3, 1) T= 12.0  tf=0.11805 (0.523 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T= 10.0  tf=0.12946 (0.574 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.15469 (0.686 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.18248 (0.809 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.23357 (1.035 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.28385 (1.258 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.32688 (1.449 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.40547 (1.797 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 15.0  tf=0.11026 (0.489 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 4, 1) T= 12.0  tf=0.12408 (0.550 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 10.0  tf=0.13654 (0.605 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  7.0  tf=0.16441 (0.729 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  5.0  tf=0.19569 (0.867 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 1) T=  3.0  tf=0.25534 (1.132 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  2.0  tf=0.31807 (1.410 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.5  tf=0.37628 (1.668 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.0  direct fail (defect 2.0e-11) -- ladder stops
  ( 5, 1) T= 15.0  tf=0.11370 (0.504 d)  fly=0.00km  acc=0.0e+00  OK (14s)
  ( 5, 1) T= 12.0  tf=0.12888 (0.571 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T= 10.0  tf=0.14278 (0.633 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  7.0  tf=0.17459 (0.774 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  5.0  tf=0.21145 (0.937 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  3.0  tf=0.28484 (1.263 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  2.0  tf=0.36505 (1.618 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.5  tf=0.44039 (1.952 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.0  tf=0.59180 (2.623 d)  fly=0.00km  acc=0.0e+00  OK (17s)
  ( 6, 1) T= 15.0  tf=0.11787 (0.522 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 6, 1) T= 12.0  tf=0.13347 (0.592 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T= 10.0  tf=0.14772 (0.655 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  7.0  tf=0.18022 (0.799 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  5.0  tf=0.21772 (0.965 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  3.0  tf=0.29192 (1.294 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  2.0  tf=0.37238 (1.651 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.5  tf=0.44737 (1.983 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.0  tf=0.59645 (2.644 d)  fly=0.00km  acc=0.0e+00  OK (1s)
THRUST LADDER DONE: 53 verified entries over 36 cells, 7.1 min
THRUST LADDER: 30 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (6 cells resumed/skipped)
  ( 1, 2) T= 15.0  tf=0.13668 (0.606 d)  fly=0.00km  acc=0.0e+00  OK (31s)
  ( 1, 2) T= 12.0  tf=0.15296 (0.678 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T= 10.0  tf=0.16744 (0.742 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  7.0  tf=0.19909 (0.882 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  5.0  tf=0.23341 (1.035 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  ( 1, 2) T=  3.0  tf=0.29501 (1.308 d)  fly=0.00km  acc=0.0e+00  OK (8s)
  ( 1, 2) T=  2.0  tf=0.35328 (1.566 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 2) T=  1.5  tf=0.40036 (1.775 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 2) T=  1.0  tf=0.47588 (2.109 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T= 15.0  tf=0.13301 (0.590 d)  fly=0.00km  acc=0.0e+00  OK (15s)
  ( 2, 2) T= 12.0  tf=0.14878 (0.659 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 2) T= 10.0  tf=0.16278 (0.722 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  7.0  tf=0.19334 (0.857 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  5.0  tf=0.22641 (1.004 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  3.0  tf=0.28559 (1.266 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  2.0  tf=0.34144 (1.513 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  1.5  tf=0.38656 (1.713 d)  fly=1.81km  acc=NaN  fail (14s)
  ( 2, 2) T=  1.0  tf=0.45926 (2.036 d)  fly=0.17km  acc=NaN  fail (3s)
  ( 3, 2) T= 15.0  tf=0.11651 (0.516 d)  fly=0.00km  acc=0.0e+00  OK (15s)
  ( 3, 2) T= 12.0  tf=0.13041 (0.578 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 2) T= 10.0  tf=0.14283 (0.633 d)  fly=0.00km  acc=0.0e+00  OK (3s)
