THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.10786 (0.478 d)  fly=0.00km  acc=0.0e+00  OK (16s)
  ( 1, 1) T= 12.0  tf=0.12159 (0.539 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.13405 (0.594 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  7.0  tf=0.16212 (0.719 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  5.0  tf=0.19393 (0.860 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  3.0  tf=0.25510 (1.131 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.31882 (1.413 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.37584 (1.666 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.48306 (2.141 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 15.0  tf=0.10164 (0.451 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 2, 1) T= 12.0  tf=0.11415 (0.506 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 10.0  tf=0.12541 (0.556 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.15053 (0.667 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  5.0  tf=0.17856 (0.791 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.23112 (1.024 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.28412 (1.259 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.33023 (1.464 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.41451 (1.837 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 15.0  tf=0.09406 (0.417 d)  fly=0.00km  acc=0.0e+00  OK (39s)
  ( 3, 1) T= 12.0  tf=0.10552 (0.468 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.11582 (0.513 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.13879 (0.615 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.16442 (0.729 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.21281 (0.943 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.26281 (1.165 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.30859 (1.368 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.40560 (1.798 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 15.0  tf=0.10681 (0.473 d)  fly=0.00km  acc=0.0e+00  OK (32s)
  ( 4, 1) T= 12.0  tf=0.11980 (0.531 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 1) T= 10.0  tf=0.13144 (0.583 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 1) T=  7.0  tf=0.15718 (0.697 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 4, 1) T=  5.0  tf=0.18557 (0.823 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 1) T=  3.0  tf=0.23812 (1.056 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  2.0  tf=0.29068 (1.288 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  1.5  tf=0.33657 (1.492 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 4, 1) T=  1.0  tf=0.42225 (1.872 d)  fly=0.00km  acc=0.0e+00  OK (14s)
  ( 5, 1) T= 15.0  tf=0.17459 (0.774 d)  fly=0.11km  acc=NaN  fail (41s)
  ( 5, 1) T= 12.0  tf=0.11338 (0.503 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 5, 1) T= 10.0  tf=0.12545 (0.556 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  7.0  tf=0.15300 (0.678 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  5.0  tf=0.18482 (0.819 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  3.0  tf=0.24774 (1.098 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  2.0  tf=0.31551 (1.399 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.5  tf=0.37778 (1.675 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.0  tf=0.49762 (2.206 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T= 15.0  tf=0.10675 (0.473 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 6, 1) T= 12.0  tf=0.12070 (0.535 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T= 10.0  tf=0.13343 (0.591 d)  fly=0.00km  acc=0.0e+00  OK (2s)
