THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.11340 (0.503 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 1, 1) T= 12.0  tf=0.12777 (0.566 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.14075 (0.624 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.16983 (0.753 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.20242 (0.897 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 1) T=  3.0  tf=0.26366 (1.169 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  2.0  tf=0.32485 (1.440 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.37680 (1.670 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.46587 (2.065 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 9 verified entries over 36 cells, 0.4 min
THRUST LADDER: 35 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (1 cells resumed/skipped)
  ( 2, 1) T= 15.0  tf=0.11505 (0.510 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 2, 1) T= 12.0  tf=0.12945 (0.574 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.14243 (0.631 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.17134 (0.760 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  5.0  tf=0.20350 (0.902 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  3.0  tf=0.26314 (1.166 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  2.0  tf=0.32164 (1.426 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.37034 (1.642 d)  fly=0.00km  acc=0.0e+00  OK (15s)
  ( 2, 1) T=  1.0  tf=0.45146 (2.001 d)  fly=0.00km  acc=0.0e+00  OK (1s)
THRUST LADDER: 34 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (2 cells resumed/skipped)
