  ( 6, 1) T=  1.5  tf=0.40361 (1.789 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.0  tf=0.52702 (2.336 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  [batch wall budget reached -- exiting cleanly after 5 cells]
THRUST LADDER DONE: 53 verified entries over 35 cells, 4.3 min
THRUST LADDER: 30 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (6 cells resumed/skipped)
  ( 1, 2) T= 15.0  tf=0.12346 (0.547 d)  fly=0.03km  acc=NaN  fail (95s)
  ( 1, 2) T= 12.0  tf=0.12983 (0.575 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 2) T= 10.0  tf=0.14307 (0.634 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  7.0  tf=0.17273 (0.766 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  5.0  tf=0.20597 (0.913 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  3.0  tf=0.26885 (1.192 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  2.0  tf=0.33321 (1.477 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  1.5  tf=0.39022 (1.730 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  1.0  tf=0.49649 (2.201 d)  fly=0.00km  acc=0.0e+00  OK (31s)
  ( 2, 2) T= 15.0  tf=0.12018 (0.533 d)  fly=0.00km  acc=0.0e+00  OK (126s)
  ( 2, 2) T= 12.0  tf=0.12657 (0.561 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 2) T= 10.0  tf=0.13930 (0.617 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  7.0  tf=0.16771 (0.743 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  5.0  tf=0.19940 (0.884 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  3.0  tf=0.25877 (1.147 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  2.0  tf=0.31867 (1.413 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  1.5  tf=0.37099 (1.644 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  1.0  tf=0.46675 (2.069 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 70 verified entries over 30 cells, 4.6 min
THRUST LADDER: 28 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (8 cells resumed/skipped)
  ( 3, 2) T= 15.0  tf=0.10019 (0.444 d)  fly=0.00km  acc=0.0e+00  OK (42s)
  ( 3, 2) T= 12.0  tf=0.11274 (0.500 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T= 10.0  tf=0.12407 (0.550 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T=  7.0  tf=0.14947 (0.663 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T=  5.0  tf=0.17800 (0.789 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  3.0  tf=0.23194 (1.028 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  2.0  tf=0.28685 (1.272 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  1.5  tf=0.33498 (1.485 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  1.0  tf=0.42310 (1.875 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 4, 2) T= 15.0  tf=0.08590 (0.381 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 4, 2) T= 12.0  tf=0.09703 (0.430 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T= 10.0  tf=0.10719 (0.475 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  7.0  tf=0.13031 (0.578 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  5.0  tf=0.15688 (0.695 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  3.0  tf=0.20903 (0.927 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T=  2.0  tf=0.26505 (1.175 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T=  1.5  tf=0.31705 (1.405 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  1.0  tf=0.41966 (1.860 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T= 15.0  tf=0.13726 (0.608 d)  fly=0.04km  acc=NaN  fail (287s)
THRUST LADDER: 26 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (10 cells resumed/skipped)
  ( 5, 2) T= 15.0  tf=0.13726 (0.608 d)  fly=0.04km  acc=NaN  fail (291s)
  ( 5, 2) T= 12.0  tf=0.15205 (0.674 d)  fly=0.07km  acc=NaN  fail (73s)
  ( 5, 2) T= 10.0  tf=0.11814 (0.524 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 5, 2) T=  7.0  tf=0.14454 (0.641 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T=  5.0  tf=0.17513 (0.776 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T=  3.0  tf=0.23577 (1.045 d)  fly=0.00km  acc=0.0e+00  OK (1s)
THRUST LADDER: 25 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (11 cells resumed/skipped)
  ( 6, 2) T= 15.0  tf=0.10872 (0.482 d)  fly=0.00km  acc=0.0e+00  OK (8s)
  ( 6, 2) T= 12.0  tf=0.12293 (0.545 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 2) T= 10.0  tf=0.13587 (0.602 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 2) T=  7.0  tf=0.16517 (0.732 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 2) T=  5.0  tf=0.19861 (0.880 d)  fly=0.00km  acc=0.0e+00  OK (1s)
