THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.14264 (0.632 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 1, 1) T= 12.0  tf=0.16120 (0.715 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.17800 (0.789 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.21580 (0.957 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 1) T=  5.0  tf=0.25857 (1.146 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.34110 (1.512 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.42897 (1.901 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  1.5  tf=0.51120 (2.266 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.68125 (3.020 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 15.0  tf=0.15048 (0.667 d)  fly=0.00km  acc=0.0e+00  OK (38s)
  ( 2, 1) T= 12.0  tf=0.17053 (0.756 d)  fly=1.77km  acc=NaN  fail (2s)
  ( 2, 1) T= 10.0  tf=0.18875 (0.837 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.22993 (1.019 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  5.0  tf=0.27677 (1.227 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.36727 (1.628 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  2.0  tf=0.46239 (2.050 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.54858 (2.432 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.71235 (3.158 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 15.0  tf=0.13638 (0.605 d)  fly=0.00km  acc=0.0e+00  OK (60s)
  ( 3, 1) T= 12.0  tf=0.15400 (0.683 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.16994 (0.753 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.20574 (0.912 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.24605 (1.091 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.32270 (1.430 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.40139 (1.779 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.47091 (2.087 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.59937 (2.657 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 15.0  tf=0.11579 (0.513 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 4, 1) T= 12.0  tf=0.13053 (0.579 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 10.0  tf=0.14386 (0.638 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  7.0  tf=0.17376 (0.770 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  5.0  tf=0.20739 (0.919 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  3.0  tf=0.27105 (1.201 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  2.0  tf=0.33556 (1.487 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.5  tf=0.39128 (1.734 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.0  tf=0.48956 (2.170 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T= 15.0  tf=0.13719 (0.608 d)  fly=0.90km  acc=NaN  fail (66s)
  ( 5, 1) T= 12.0  tf=0.15483 (0.686 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T= 10.0  tf=0.17076 (0.757 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 5, 1) T=  7.0  tf=0.20638 (0.915 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 5, 1) T=  5.0  tf=0.24619 (1.091 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  3.0  tf=0.32059 (1.421 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  2.0  tf=0.39426 (1.748 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.5  tf=0.45621 (2.022 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.0  tf=0.56123 (2.488 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 5 cells]
THRUST LADDER DONE: 43 verified entries over 36 cells, 4.1 min
THRUST LADDER: 31 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (5 cells resumed/skipped)
  ( 6, 1) T= 15.0  tf=0.14474 (0.642 d)  fly=0.00km  acc=0.0e+00  OK (45s)
  ( 6, 1) T= 12.0  tf=0.16300 (0.723 d)  fly=1.12km  acc=NaN  fail (3s)
  ( 6, 1) T= 10.0  tf=0.17939 (0.795 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  7.0  tf=0.21570 (0.956 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  5.0  tf=0.25576 (1.134 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  3.0  tf=0.32933 (1.460 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 6, 1) T=  2.0  tf=0.40110 (1.778 d)  fly=0.00km  acc=0.0e+00  OK (7s)
  ( 6, 1) T=  1.5  tf=0.46145 (2.045 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.0  tf=0.56693 (2.513 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T= 15.0  tf=0.14174 (0.628 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 1, 2) T= 12.0  tf=0.16221 (0.719 d)  fly=0.00km  acc=0.0e+00  OK (6s)
  ( 1, 2) T= 10.0  tf=0.18095 (0.802 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 1, 2) T=  7.0  tf=0.22351 (0.991 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T=  5.0  tf=0.27184 (1.205 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 2) T=  3.0  tf=0.36464 (1.616 d)  fly=0.00km  acc=6.8e-11  OK (2s)
  ( 1, 2) T=  2.0  tf=0.46111 (2.044 d)  fly=11.51km  acc=NaN  fail (4s)
  ( 1, 2) T=  1.5  tf=0.54604 (2.420 d)  fly=14.95km  acc=NaN  fail (4s)
  ( 1, 2) T=  1.0  direct fail (defect 1.4e-08) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 57 verified entries over 31 cells, 4.6 min
THRUST LADDER: 29 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (7 cells resumed/skipped)
  ( 2, 2) T= 15.0  tf=0.14190 (0.629 d)  fly=0.00km  acc=0.0e+00  OK (73s)
  ( 2, 2) T= 12.0  tf=0.16161 (0.716 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T= 10.0  tf=0.17974 (0.797 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  7.0  tf=0.22136 (0.981 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  5.0  tf=0.26954 (1.195 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  3.0  rejected pre-flight (minAlt 500 km, tf 2.5446) -- ladder stops
  ( 3, 2) T= 15.0  tf=0.16296 (0.722 d)  fly=41.88km  acc=NaN  fail (89s)
  ( 3, 2) T= 12.0  tf=0.14040 (0.622 d)  fly=0.00km  acc=0.0e+00  OK (8s)
  ( 3, 2) T= 10.0  tf=0.15423 (0.684 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  7.0  tf=0.18535 (0.822 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 2) T=  5.0  tf=0.22083 (0.979 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T=  3.0  tf=0.29058 (1.288 d)  fly=0.00km  acc=0.0e+00  OK (18s)
  ( 3, 2) T=  2.0  tf=0.36555 (1.620 d)  fly=0.00km  acc=NaN  fail (2s)
  ( 3, 2) T=  1.5  tf=0.43307 (1.920 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 3, 2) T=  1.0  tf=0.55319 (2.452 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 69 verified entries over 29 cells, 4.3 min
THRUST LADDER: 27 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (9 cells resumed/skipped)
  ( 4, 2) T= 15.0  tf=0.11760 (0.521 d)  fly=0.00km  acc=0.0e+00  OK (18s)
  ( 4, 2) T= 12.0  tf=0.13189 (0.585 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 4, 2) T= 10.0  tf=0.14482 (0.642 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 2) T=  7.0  tf=0.17398 (0.771 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  5.0  tf=0.20737 (0.919 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 4, 2) T=  3.0  tf=0.27342 (1.212 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 2) T=  2.0  rejected pre-flight (minAlt 6033 km, tf 1.1928) -- ladder stops
  ( 5, 2) T= 15.0  tf=0.14464 (0.641 d)  fly=0.00km  acc=0.0e+00  OK (8s)
  ( 5, 2) T= 12.0  tf=0.16388 (0.726 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 5, 2) T= 10.0  tf=0.18134 (0.804 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T=  7.0  tf=0.22062 (0.978 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T=  5.0  tf=0.26477 (1.174 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  ( 5, 2) T=  3.0  tf=0.34731 (1.540 d)  fly=0.00km  acc=NaN  fail (24s)
  ( 5, 2) T=  2.0  tf=0.42832 (1.899 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 5, 2) T=  1.5  tf=0.49532 (2.196 d)  fly=0.00km  acc=NaN  fail (4s)
  ( 5, 2) T=  1.0  tf=0.60490 (2.681 d)  fly=0.00km  acc=NaN  fail (16s)
  ( 6, 2) T= 15.0  tf=1.30446 flown 1439401.8 km > gate -- ladder stops
  [batch wall budget reached -- exiting cleanly after 3 cells]
THRUST LADDER DONE: 80 verified entries over 27 cells, 4.0 min
THRUST LADDER: 25 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (11 cells resumed/skipped)
  ( 6, 2) T= 15.0  tf=1.30446 flown 1439401.8 km > gate -- ladder stops
  ( 1, 3) T= 15.0  tf=0.12122 (0.537 d)  fly=0.00km  acc=0.0e+00  OK (10s)
