THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.12853 (0.570 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 1, 1) T= 12.0  tf=0.14495 (0.643 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.15977 (0.708 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 1) T=  7.0  tf=0.19297 (0.855 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  5.0  tf=0.23029 (1.021 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.30157 (1.337 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.37679 (1.670 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  1.5  tf=0.44721 (1.982 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  1.0  tf=0.59563 (2.640 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 15.0  tf=0.12796 (0.567 d)  fly=0.00km  acc=0.0e+00  OK (35s)
  ( 2, 1) T= 12.0  tf=0.14452 (0.641 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.15952 (0.707 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.19326 (0.857 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  5.0  tf=0.23139 (1.026 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.30443 (1.349 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.38088 (1.688 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.45061 (1.997 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.58695 (2.602 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 15.0  tf=0.11334 (0.502 d)  fly=0.00km  acc=0.0e+00  OK (52s)
  ( 3, 1) T= 12.0  tf=0.12769 (0.566 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.14065 (0.623 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.16969 (0.752 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.20232 (0.897 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.26414 (1.171 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.32753 (1.452 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.38388 (1.702 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.49053 (2.174 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 15.0  tf=0.09777 (0.433 d)  fly=0.00km  acc=0.0e+00  OK (59s)
  ( 4, 1) T= 12.0  tf=0.11002 (0.488 d)  fly=0.00km  acc=0.0e+00  OK (1s)
