THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.11394 (0.505 d)  fly=0.02km  acc=NaN  fail (74s)
  ( 1, 1) T= 12.0  tf=0.12081 (0.536 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 1) T= 10.0  tf=0.13271 (0.588 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  7.0  tf=0.15912 (0.705 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  5.0  tf=0.18844 (0.835 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  3.0  tf=0.24324 (1.078 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.29881 (1.325 d)  fly=0.00km  acc=0.0e+00  OK (67s)
  ( 1, 1) T=  1.5  tf=0.34787 (1.542 d)  fly=0.00km  acc=0.0e+00  OK (20s)
  ( 1, 1) T=  1.0  tf=0.43909 (1.946 d)  fly=0.00km  acc=0.0e+00  OK (30s)
  ( 2, 1) T= 15.0  tf=0.10025 (0.444 d)  fly=0.00km  acc=0.0e+00  OK (35s)
  ( 2, 1) T= 12.0  tf=0.11221 (0.497 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 10.0  tf=0.12290 (0.545 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  7.0  tf=0.14646 (0.649 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  5.0  tf=0.17236 (0.764 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.22029 (0.976 d)  fly=0.00km  acc=0.0e+00  OK (14s)
  ( 2, 1) T=  2.0  tf=0.26915 (1.193 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  1.5  tf=0.31383 (1.391 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.40621 (1.801 d)  fly=0.00km  acc=0.0e+00  OK (7s)
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 17 verified entries over 36 cells, 4.4 min
THRUST LADDER: 34 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (2 cells resumed/skipped)
  ( 3, 1) T= 15.0  tf=0.09022 (0.400 d)  fly=0.00km  acc=0.0e+00  OK (42s)
  ( 3, 1) T= 12.0  tf=0.10107 (0.448 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.11083 (0.491 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 1) T=  7.0  tf=0.13269 (0.588 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.15748 (0.698 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.20728 (0.919 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.26852 (1.190 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  1.5  tf=0.33706 (1.494 d)  fly=0.00km  acc=0.0e+00  OK (18s)
  ( 3, 1) T=  1.0  rejected pre-flight (minAlt 14743 km, tf 1.6015) -- ladder stops
  ( 4, 1) T= 15.0  tf=0.09000 (0.399 d)  fly=0.00km  acc=0.0e+00  OK (44s)
  ( 4, 1) T= 12.0  tf=0.10198 (0.452 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 10.0  tf=0.11309 (0.501 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  7.0  tf=0.13919 (0.617 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  5.0  tf=0.17110 (0.758 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  3.0  tf=0.24166 (1.071 d)  fly=0.00km  acc=0.0e+00  OK (15s)
  ( 4, 1) T=  2.0  tf=0.32801 (1.454 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  1.5  tf=0.41121 (1.823 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 1) T=  1.0  rejected pre-flight (minAlt 3829 km, tf 5.2850) -- ladder stops
  ( 5, 1) T= 15.0  tf=0.10178 (0.451 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 5, 1) T= 12.0  tf=0.11579 (0.513 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T= 10.0  tf=0.12878 (0.571 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  7.0  tf=0.15917 (0.706 d)  fly=0.00km  acc=0.0e+00  OK (1s)
