THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.13785 (0.611 d)  fly=0.00km  acc=0.0e+00  OK (8s)
  ( 1, 1) T= 12.0  tf=0.15553 (0.689 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.17148 (0.760 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.20708 (0.918 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.24676 (1.094 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.32061 (1.421 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  2.0  tf=0.39354 (1.744 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.5  tf=0.45494 (2.017 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  1.0  tf=0.55964 (2.481 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T= 15.0  tf=0.13429 (0.595 d)  fly=0.00km  acc=0.0e+00  OK (60s)
  ( 2, 1) T= 12.0  tf=0.15136 (0.671 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.16674 (0.739 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  7.0  tf=0.20097 (0.891 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  5.0  tf=0.23897 (1.059 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  3.0  tf=0.30921 (1.371 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.37777 (1.675 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.43467 (1.927 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.52957 (2.347 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 15.0  tf=0.11912 (0.528 d)  fly=0.00km  acc=0.0e+00  OK (62s)
  ( 3, 1) T= 12.0  tf=0.13387 (0.593 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.14712 (0.652 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  7.0  tf=0.17648 (0.782 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.20889 (0.926 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.26832 (1.189 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.32586 (1.444 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.37333 (1.655 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  1.0  tf=0.45204 (2.004 d)  fly=0.00km  acc=NaN  fail (1s)
  ( 4, 1) T= 15.0  tf=0.10773 (0.478 d)  fly=0.00km  acc=0.0e+00  OK (53s)
  ( 4, 1) T= 12.0  tf=0.12141 (0.538 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 10.0  tf=0.13381 (0.593 d)  fly=0.00km  acc=0.0e+00  OK (1s)
