THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.10957 (0.486 d)  fly=0.00km  acc=0.0e+00  OK (22s)
  ( 1, 1) T= 12.0  tf=0.12272 (0.544 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  ( 1, 1) T= 10.0  tf=0.13234 (0.587 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 1, 1) T=  7.0  tf=0.15916 (0.705 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.18948 (0.840 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.24947 (1.106 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 1) T=  2.0  tf=0.29798 (1.321 d)  fly=0.00km  acc=0.0e+00  OK (28s)
  ( 1, 1) T=  1.5  tf=0.39607 (1.756 d)  fly=0.00km  acc=0.0e+00  OK (15s)
  ( 1, 1) T=  1.0  tf=0.45273 (2.007 d)  fly=0.00km  acc=0.0e+00  OK (4s)
THRUST LADDER: 35 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (1 cells resumed/skipped)
  ( 2, 1) T= 15.0  tf=0.11909 (0.528 d)  fly=0.02km  acc=NaN  fail (175s)
  ( 2, 1) T= 12.0  tf=0.11548 (0.512 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 2, 1) T= 10.0  tf=0.12707 (0.563 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  7.0  tf=0.15307 (0.679 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  5.0  tf=0.18250 (0.809 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.24023 (1.065 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.30552 (1.354 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.37234 (1.650 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.52006 (2.305 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T= 15.0  tf=0.08846 (0.392 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 3, 1) T= 12.0  tf=0.09941 (0.441 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.10930 (0.485 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.13149 (0.583 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.15655 (0.694 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.20514 (0.909 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.25859 (1.146 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.31196 (1.383 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.43585 (1.932 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T= 15.0  tf=0.07679 (0.340 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 4, 1) T= 12.0  tf=0.08628 (0.382 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 10.0  tf=0.09488 (0.421 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  7.0  tf=0.11423 (0.506 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  5.0  tf=0.13622 (0.604 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  3.0  tf=0.17935 (0.795 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  2.0  tf=0.22732 (1.008 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.5  tf=0.27484 (1.218 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T=  1.0  rejected pre-flight (minAlt 3278 km, tf 4.3797) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 3 cells]
THRUST LADDER DONE: 34 verified entries over 35 cells, 3.9 min
THRUST LADDER: 32 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (4 cells resumed/skipped)
  ( 5, 1) T= 15.0  tf=0.12498 (0.554 d)  fly=0.02km  acc=NaN  fail (154s)
  ( 5, 1) T= 12.0  tf=0.10216 (0.453 d)  fly=0.00km  acc=0.0e+00  OK (6s)
  ( 5, 1) T= 10.0  tf=0.11254 (0.499 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  7.0  tf=0.13598 (0.603 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  5.0  tf=0.16268 (0.721 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  3.0  tf=0.21497 (0.953 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  2.0  tf=0.27238 (1.207 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.5  tf=0.32834 (1.455 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  1.0  tf=0.47485 (2.105 d)  fly=0.00km  acc=0.0e+00  OK (14s)
  ( 6, 1) T= 15.0  tf=0.41367 flown 1216490.1 km > gate -- ladder stops
  ( 1, 2) T= 15.0  tf=0.10218 (0.453 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 1, 2) T= 12.0  tf=0.11493 (0.509 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 2) T= 10.0  tf=0.12644 (0.560 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  7.0  tf=0.15226 (0.675 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  5.0  tf=0.18145 (0.804 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  3.0  tf=0.23868 (1.058 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  2.0  tf=0.29829 (1.322 d)  fly=0.00km  acc=0.0e+00  OK (26s)
  ( 1, 2) T=  1.5  tf=0.35691 (1.582 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 2) T=  1.0  tf=0.50127 (2.222 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  [batch wall budget reached -- exiting cleanly after 3 cells]
THRUST LADDER DONE: 51 verified entries over 32 cells, 4.2 min
THRUST LADDER: 30 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (6 cells resumed/skipped)
  ( 6, 1) T= 15.0  tf=0.41367 flown 1216490.1 km > gate -- ladder stops
  ( 2, 2) T= 15.0  tf=0.10676 (0.473 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 2, 2) T= 12.0  tf=0.12003 (0.532 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T= 10.0  tf=0.13199 (0.585 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  7.0  tf=0.15878 (0.704 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 2, 2) T=  5.0  tf=0.18915 (0.838 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 2) T=  3.0  tf=0.24974 (1.107 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  2.0  tf=0.32243 (1.429 d)  fly=0.00km  acc=0.0e+00  OK (8s)
  ( 2, 2) T=  1.5  tf=0.40529 (1.797 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  1.0  tf=0.43809 (1.942 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 2) T= 15.0  tf=0.10131 (0.449 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 3, 2) T= 12.0  tf=0.11399 (0.505 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T= 10.0  tf=0.12546 (0.556 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  7.0  tf=0.15128 (0.671 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  5.0  tf=0.18069 (0.801 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  3.0  tf=0.23946 (1.061 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T=  2.0  tf=0.30825 (1.366 d)  fly=0.00km  acc=0.0e+00  OK (17s)
  ( 3, 2) T=  1.5  tf=0.38091 (1.688 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  1.0  rejected pre-flight (minAlt 11701 km, tf 1.6602) -- ladder stops
  ( 4, 2) T= 15.0  tf=0.08716 (0.386 d)  fly=0.00km  acc=0.0e+00  OK (14s)
  ( 4, 2) T= 12.0  tf=0.09810 (0.435 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T= 10.0  tf=0.10803 (0.479 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  7.0  tf=0.13041 (0.578 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  5.0  tf=0.15593 (0.691 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  3.0  tf=0.20622 (0.914 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  2.0  tf=0.26300 (1.166 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  1.5  tf=0.32141 (1.425 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  1.0  tf=0.46290 (2.052 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T= 15.0  tf=0.07865 (0.349 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 5, 2) T= 12.0  tf=0.08839 (0.392 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T= 10.0  tf=0.09719 (0.431 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T=  7.0  tf=0.11692 (0.518 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T=  5.0  tf=0.13919 (0.617 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T=  3.0  rejected pre-flight (minAlt 21950 km, tf 0.9049) -- ladder stops
