THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.11662 (0.517 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 1, 1) T= 12.0  tf=0.13114 (0.581 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.14420 (0.639 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  7.0  tf=0.17320 (0.768 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  5.0  tf=0.20536 (0.910 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.26509 (1.175 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.32449 (1.438 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  1.5  tf=0.37536 (1.664 d)  fly=0.00km  acc=0.0e+00  OK (18s)
  ( 1, 1) T=  1.0  tf=0.46504 (2.061 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 2, 1) T= 15.0  tf=0.10965 (0.486 d)  fly=0.00km  acc=0.0e+00  OK (14s)
  ( 2, 1) T= 12.0  tf=0.12291 (0.545 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.13479 (0.597 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  7.0  tf=0.16104 (0.714 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  5.0  tf=0.19004 (0.842 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.24409 (1.082 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.29956 (1.328 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.35055 (1.554 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.45687 (2.025 d)  fly=0.00km  acc=0.0e+00  OK (34s)
  ( 3, 1) T= 15.0  tf=0.10200 (0.452 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 3, 1) T= 12.0  tf=0.11455 (0.508 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.12591 (0.558 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.15152 (0.672 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.18091 (0.802 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.24077 (1.067 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  direct fail (defect 1.5e-08) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 3 cells]
THRUST LADDER DONE: 24 verified entries over 36 cells, 4.9 min
THRUST LADDER: 33 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (3 cells resumed/skipped)
  ( 4, 1) T= 15.0  tf=0.10344 (0.459 d)  fly=0.00km  acc=0.0e+00  OK (49s)
  ( 4, 1) T= 12.0  tf=0.11731 (0.520 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 1) T= 10.0  tf=0.13014 (0.577 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  7.0  tf=0.16012 (0.710 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  5.0  tf=0.19633 (0.870 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  3.0  tf=0.27420 (1.215 d)  fly=0.00km  acc=0.0e+00  OK (2s)
