THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.10154 (0.450 d)  fly=0.00km  acc=0.0e+00  OK (30s)
  ( 1, 1) T= 12.0  tf=0.11397 (0.505 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 1) T= 10.0  tf=0.12513 (0.555 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  7.0  tf=0.14998 (0.665 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.17772 (0.788 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  3.0  tf=0.23058 (1.022 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  2.0  tf=0.28663 (1.271 d)  fly=0.00km  acc=0.0e+00  OK (43s)
  ( 1, 1) T=  1.5  tf=0.33924 (1.504 d)  fly=0.00km  acc=0.0e+00  OK (6s)
  ( 1, 1) T=  1.0  tf=0.44588 (1.976 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 1) T= 15.0  tf=0.09443 (0.419 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 2, 1) T= 12.0  tf=0.10565 (0.468 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.11569 (0.513 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  7.0  tf=0.13782 (0.611 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  5.0  tf=0.16222 (0.719 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.20786 (0.921 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.25571 (1.133 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  1.5  tf=0.30113 (1.335 d)  fly=0.00km  acc=0.0e+00  OK (20s)
  ( 2, 1) T=  1.0  tf=0.39717 (1.761 d)  fly=0.00km  acc=0.0e+00  OK (19s)
  ( 3, 1) T= 15.0  tf=0.08308 (0.368 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 3, 1) T= 12.0  tf=0.09296 (0.412 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.10183 (0.451 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.12160 (0.539 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.14385 (0.638 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.18803 (0.833 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.24235 (1.074 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 3, 1) T=  1.5  tf=0.30587 (1.356 d)  fly=0.00km  acc=0.0e+00  OK (20s)
  ( 3, 1) T=  1.0  tf=0.44634 (1.978 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 1) T= 15.0  tf=0.08108 (0.359 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 4, 1) T= 12.0  tf=0.09178 (0.407 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 10.0  tf=0.10171 (0.451 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  7.0  tf=0.12511 (0.555 d)  fly=0.00km  acc=0.0e+00  OK (1s)
