THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.09736 (0.432 d)  fly=0.00km  acc=0.0e+00  OK (23s)
  ( 1, 1) T= 12.0  tf=0.10718 (0.475 d)  fly=0.00km  acc=0.0e+00  OK (6s)
  ( 1, 1) T= 10.0  tf=0.11766 (0.522 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  7.0  tf=0.14117 (0.626 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  5.0  tf=0.16787 (0.744 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  3.0  tf=0.22135 (0.981 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  2.0  tf=0.28433 (1.260 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  1.5  tf=0.35011 (1.552 d)  fly=0.00km  acc=0.0e+00  OK (17s)
  ( 1, 1) T=  1.0  tf=0.47808 (2.119 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 9 verified entries over 36 cells, 1.0 min
THRUST LADDER: 35 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (1 cells resumed/skipped)
  ( 2, 1) T= 15.0  tf=0.08907 (0.395 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 2, 1) T= 12.0  tf=0.09969 (0.442 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.10921 (0.484 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  7.0  tf=0.13035 (0.578 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  5.0  tf=0.15399 (0.683 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.20011 (0.887 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 1) T=  2.0  tf=0.25311 (1.122 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.30891 (1.369 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  ( 2, 1) T=  1.0  tf=0.43639 (1.934 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 1) T= 15.0  tf=0.07679 (0.340 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 3, 1) T= 12.0  tf=0.08590 (0.381 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.09409 (0.417 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  7.0  tf=0.11234 (0.498 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.13292 (0.589 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  3.0  tf=0.17386 (0.771 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  2.0  tf=0.22385 (0.992 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.28210 (1.250 d)  fly=0.00km  acc=0.0e+00  OK (19s)
  ( 3, 1) T=  1.0  rejected pre-flight (minAlt 6911 km, tf 5.5422) -- ladder stops
  ( 4, 1) T= 15.0  tf=0.07227 (0.320 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 4, 1) T= 12.0  tf=0.08168 (0.362 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 10.0  tf=0.09041 (0.401 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  7.0  tf=0.11101 (0.492 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  5.0  tf=0.13663 (0.606 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  3.0  rejected pre-flight (minAlt 11317 km, tf 0.9249) -- ladder stops
  ( 5, 1) T= 15.0  tf=0.08602 (0.381 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 5, 1) T= 12.0  tf=0.09769 (0.433 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T= 10.0  tf=0.10854 (0.481 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  7.0  tf=0.13407 (0.594 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  5.0  tf=0.16534 (0.733 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 5, 1) T=  3.0  tf=0.23437 (1.039 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 5, 1) T=  2.0  tf=0.31898 (1.414 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  1.5  tf=0.40449 (1.793 d)  fly=0.00km  acc=0.0e+00  OK (2s)
