THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.14565 (0.646 d)  fly=0.00km  acc=0.0e+00  OK (41s)
  ( 1, 1) T= 12.0  tf=0.16461 (0.730 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.18177 (0.806 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.22029 (0.976 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.26368 (1.169 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  3.0  tf=0.34628 (1.535 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  tf=0.43143 (1.912 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  1.5  tf=0.50725 (2.248 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  1.0  tf=0.64996 (2.881 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 15.0  tf=0.15159 (0.672 d)  fly=0.00km  acc=0.0e+00  OK (36s)
  ( 2, 1) T= 12.0  tf=0.17162 (0.761 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.18977 (0.841 d)  fly=1.19km  acc=NaN  fail (2s)
  ( 2, 1) T=  7.0  tf=0.23061 (1.022 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  5.0  tf=0.27671 (1.227 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.36437 (1.615 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  2.0  tf=0.45378 (2.011 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.53172 (2.357 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.0  tf=0.67152 (2.977 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 15.0  tf=0.13646 (0.605 d)  fly=0.00km  acc=0.0e+00  OK (50s)
  ( 3, 1) T= 12.0  tf=0.15389 (0.682 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T= 10.0  tf=0.16962 (0.752 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  7.0  tf=0.20475 (0.908 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.24398 (1.081 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.31736 (1.407 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  2.0  tf=0.39057 (1.731 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.45298 (2.008 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=0.56154 (2.489 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 15.0  tf=0.11632 (0.516 d)  fly=0.00km  acc=0.0e+00  OK (70s)
  ( 4, 1) T= 12.0  tf=0.13113 (0.581 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 10.0  tf=0.14452 (0.641 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  7.0  tf=0.17458 (0.774 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  5.0  tf=0.20838 (0.924 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  3.0  tf=0.27229 (1.207 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  2.0  tf=0.33687 (1.493 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.5  tf=0.39235 (1.739 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.0  tf=0.48866 (2.166 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 4 cells]
THRUST LADDER DONE: 35 verified entries over 36 cells, 4.0 min
THRUST LADDER: 32 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (4 cells resumed/skipped)
  ( 5, 1) T= 15.0  tf=0.13932 (0.618 d)  fly=1.04km  acc=NaN  fail (9s)
  ( 5, 1) T= 12.0  tf=0.15740 (0.698 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T= 10.0  tf=0.17375 (0.770 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  ( 5, 1) T=  7.0  tf=0.21040 (0.933 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  5.0  tf=0.25149 (1.115 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  3.0  tf=0.32854 (1.456 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  2.0  tf=0.40499 (1.795 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.5  tf=0.46915 (2.080 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.0  tf=0.57668 (2.556 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T= 15.0  tf=0.17252 (0.765 d)  fly=0.14km  acc=NaN  fail (50s)
  ( 6, 1) T= 12.0  tf=0.16653 (0.738 d)  fly=1.93km  acc=NaN  fail (4s)
  ( 6, 1) T= 10.0  tf=0.18345 (0.813 d)  fly=0.77km  acc=NaN  fail (2s)
  ( 6, 1) T=  7.0  tf=0.22101 (0.980 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  5.0  tf=0.26256 (1.164 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  3.0  tf=0.33908 (1.503 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  2.0  tf=0.41368 (1.834 d)  fly=0.00km  acc=0.0e+00  OK (2s)
