THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.13967 (0.619 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 1, 1) T= 12.0  tf=0.15783 (0.700 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T= 10.0  tf=0.17431 (0.773 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  7.0  tf=0.21148 (0.937 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 1) T=  5.0  tf=0.25389 (1.125 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 1) T=  3.0  tf=0.33764 (1.497 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 1) T=  2.0  direct fail (defect 1.5e-05) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 6 verified entries over 36 cells, 2.9 min
THRUST LADDER: 35 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (1 cells resumed/skipped)
  ( 2, 1) T= 15.0  tf=0.14975 (0.664 d)  fly=0.00km  acc=0.0e+00  OK (36s)
  ( 2, 1) T= 12.0  tf=0.16992 (0.753 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T= 10.0  tf=0.18832 (0.835 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  7.0  tf=0.23016 (1.020 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 1) T=  5.0  tf=0.27831 (1.234 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  3.0  tf=0.37382 (1.657 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  2.0  tf=0.47925 (2.124 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 1) T=  1.5  tf=0.58006 (2.571 d)  fly=0.00km  acc=0.0e+00  OK (1s)
THRUST LADDER: 34 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (2 cells resumed/skipped)
  ( 3, 1) T= 15.0  tf=0.13702 (0.607 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 3, 1) T= 12.0  tf=0.15499 (0.687 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T= 10.0  tf=0.17131 (0.759 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 1) T=  7.0  tf=0.20822 (0.923 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  5.0  tf=0.25030 (1.110 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  3.0  tf=0.33237 (1.473 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  2.0  tf=0.42051 (1.864 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.5  tf=0.50277 (2.229 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 1) T=  1.0  tf=1.72595 flown 307673.0 km > gate -- ladder stops
  ( 4, 1) T= 15.0  tf=0.11646 (0.516 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 4, 1) T= 12.0  tf=0.13133 (0.582 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T= 10.0  tf=0.14478 (0.642 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  7.0  tf=0.17505 (0.776 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  5.0  tf=0.20922 (0.927 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  3.0  tf=0.27455 (1.217 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  2.0  tf=0.34220 (1.517 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.5  tf=0.40276 (1.785 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 1) T=  1.0  tf=0.52031 (2.306 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T= 15.0  tf=0.13549 (0.601 d)  fly=0.00km  acc=0.0e+00  OK (73s)
  ( 5, 1) T= 12.0  tf=0.15276 (0.677 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T= 10.0  tf=0.16833 (0.746 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 1) T=  7.0  tf=0.20307 (0.900 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 5, 1) T=  5.0  tf=0.24183 (1.072 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  3.0  tf=0.31420 (1.393 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  2.0  tf=0.38619 (1.712 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.5  tf=0.44753 (1.984 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 1) T=  1.0  tf=0.55613 (2.465 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T= 15.0  tf=0.14185 (0.629 d)  fly=0.00km  acc=0.0e+00  OK (25s)
  ( 6, 1) T= 12.0  tf=0.15955 (0.707 d)  fly=1.18km  acc=NaN  fail (2s)
  ( 6, 1) T= 10.0  tf=0.17542 (0.778 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  7.0  tf=0.21050 (0.933 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  5.0  tf=0.24909 (1.104 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  3.0  tf=0.31991 (1.418 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 1) T=  2.0  tf=0.38944 (1.726 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.5  tf=0.44888 (1.990 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 1) T=  1.0  tf=0.55716 (2.470 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 2) T= 15.0  tf=0.13309 (0.590 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 1, 2) T= 12.0  tf=0.15004 (0.665 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 2) T= 10.0  tf=0.16534 (0.733 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  7.0  tf=0.19960 (0.885 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  5.0  tf=0.23812 (1.055 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  3.0  tf=0.31148 (1.381 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  2.0  tf=0.38776 (1.719 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  1.5  tf=0.45687 (2.025 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 2) T=  1.0  tf=0.59056 (2.618 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 5 cells]
THRUST LADDER DONE: 57 verified entries over 34 cells, 4.0 min
THRUST LADDER: 29 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (7 cells resumed/skipped)
  ( 2, 2) T= 15.0  tf=0.15224 (0.675 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 2, 2) T= 12.0  tf=0.17234 (0.764 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T= 10.0  tf=0.19057 (0.845 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  7.0  tf=0.23170 (1.027 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  5.0  tf=0.27851 (1.235 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  3.0  tf=0.37011 (1.641 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 2) T=  2.0  tf=0.47019 (2.084 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 2, 2) T=  1.5  tf=0.56481 (2.504 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 2) T=  1.0  tf=0.58685 (2.601 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 3, 2) T= 15.0  tf=0.14637 (0.649 d)  fly=0.00km  acc=0.0e+00  OK (26s)
  ( 3, 2) T= 12.0  tf=0.16563 (0.734 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T= 10.0  tf=0.18313 (0.812 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  7.0  tf=0.22273 (0.987 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  5.0  tf=0.26811 (1.188 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 2) T=  3.0  tf=0.35830 (1.588 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  2.0  tf=0.45986 (2.038 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  1.5  tf=0.56025 (2.483 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 2) T=  1.0  direct fail (defect 8.9e-12) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 74 verified entries over 29 cells, 4.1 min
THRUST LADDER: 27 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (9 cells resumed/skipped)
  ( 4, 2) T= 15.0  tf=0.12675 (0.562 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 4, 2) T= 12.0  tf=0.14358 (0.636 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T= 10.0  tf=0.15895 (0.705 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 2) T=  7.0  tf=0.19397 (0.860 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  5.0  tf=0.23438 (1.039 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  3.0  tf=0.31460 (1.394 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  2.0  tf=0.40286 (1.786 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  1.5  tf=0.48736 (2.160 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  1.0  rejected pre-flight (minAlt 500 km, tf 4.0318) -- ladder stops
  ( 5, 2) T= 15.0  tf=0.13023 (0.577 d)  fly=0.00km  acc=0.0e+00  OK (32s)
  ( 5, 2) T= 12.0  tf=0.14712 (0.652 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T= 10.0  tf=0.16244 (0.720 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 2) T=  7.0  tf=0.19691 (0.873 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T=  5.0  tf=0.23586 (1.046 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T=  3.0  tf=0.31034 (1.376 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T=  2.0  tf=0.38753 (1.718 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T=  1.5  tf=0.45721 (2.027 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T=  1.0  direct fail (defect 1.5e-04) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 90 verified entries over 27 cells, 3.7 min
THRUST LADDER: 25 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (11 cells resumed/skipped)
  ( 6, 2) T= 15.0  tf=0.13095 (0.580 d)  fly=0.00km  acc=0.0e+00  OK (20s)
  ( 6, 2) T= 12.0  tf=0.14705 (0.652 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 6, 2) T= 10.0  tf=0.16146 (0.716 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 2) T=  7.0  tf=0.19325 (0.857 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 6, 2) T=  5.0  tf=0.22815 (1.011 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 6, 2) T=  3.0  tf=0.29187 (1.294 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 2) T=  2.0  tf=0.35390 (1.569 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 2) T=  1.5  tf=0.40639 (1.801 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 2) T=  1.0  tf=0.50192 (2.225 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T= 15.0  tf=0.32641 flown 540767.8 km > gate -- ladder stops
  ( 2, 3) T= 15.0  tf=0.14624 (0.648 d)  fly=0.00km  acc=0.0e+00  OK (18s)
  ( 2, 3) T= 12.0  tf=0.16506 (0.732 d)  fly=1.23km  acc=NaN  fail (2s)
  ( 2, 3) T= 10.0  tf=0.18202 (0.807 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 3) T=  7.0  tf=0.21989 (0.975 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 3) T=  5.0  tf=0.26218 (1.162 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 3) T=  3.0  tf=0.34143 (1.513 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 3) T=  2.0  tf=0.42132 (1.868 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T=  1.5  tf=0.49098 (2.176 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 3) T=  1.0  tf=0.61837 (2.741 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T= 15.0  tf=0.14764 (0.654 d)  fly=0.00km  acc=0.0e+00  OK (7s)
  ( 3, 3) T= 12.0  tf=0.16655 (0.738 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 3) T= 10.0  tf=0.18359 (0.814 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 3) T=  7.0  tf=0.22166 (0.983 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  5.0  tf=0.26438 (1.172 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  3.0  tf=0.34622 (1.535 d)  fly=0.00km  acc=0.0e+00  OK (1s)
